monastery,geometry,year,wikidata_entry
Augustinerchorherrenstift Beuron,Point(8.969333333 48.050722222),1863,http://www.wikidata.org/entity/Q450038
"Augustinerchorherrenstift St. Zeno, Reichenhall",Point(12.8885 47.7315),803,http://www.wikidata.org/entity/Q671218
Augustinerchorherrenstift Rebdorf,Point(11.167476561 48.888164669),1156,http://www.wikidata.org/entity/Q1775841
Augustinerchorfrauenstift Andernach,Point(7.40673 50.4323),750,http://www.wikidata.org/entity/Q334309
Augustinereremitenkloster Erfurt,Point(11.03 50.9814),1201,http://www.wikidata.org/entity/Q420158
Augustinerchorherrenstift St. Märgen,Point(8.09215 48.0062),1101,http://www.wikidata.org/entity/Q1776108
Augustinerchorherrenstift Rohr,Point(11.966944444 48.768888888),1101,http://www.wikidata.org/entity/Q881499
Augustinerchorherrenstift Heidenfeld,Point(10.201441666 49.96495),1069,http://www.wikidata.org/entity/Q881040
Augustinerchorherrenstift Heidenfeld,Point(10.201509933 49.964983782),1069,http://www.wikidata.org/entity/Q881040
"Prämonstratenserinnenstift Hopels, später Augustinerchorherren",Point(7.79646 53.4139),1235,http://www.wikidata.org/entity/Q1775366
Augustinerchorherrenstift Herrenchiemsee (ab 1215 zugleich Domstift Chiemsee),Point(12.396452133 47.867767418),620,http://www.wikidata.org/entity/Q1775336
Augustinerchorherrenstift Baumburg,Point(12.5308 47.9981),1107,http://www.wikidata.org/entity/Q1774987
Augustinerchorherrenstift Beyharting,Point(11.9907 47.9241),1130,http://www.wikidata.org/entity/Q1775028
Augustinerchorherrenstift Dießen,Point(11.0972 47.9481),1150,http://www.wikidata.org/entity/Q1775164
Augustinerinnenkloster Memmingen,Point(10.182590303 47.983624441),1256,http://www.wikidata.org/entity/Q768442
Augustinerkloster Fährbrück,Point(10.044958748 49.91784983),1164,http://www.wikidata.org/entity/Q768513
"Augustinereremitenkloster St. Johannes Baptist, Memmingen",Point(10.1807 47.9866),1280,http://www.wikidata.org/entity/Q768522
Augustinerkloster,Point(9.79518 48.7988),1284,http://www.wikidata.org/entity/Q768504
Augustinereremitenkloster Einbeck,Point(9.86972 51.8181),1310,http://www.wikidata.org/entity/Q768393
"Augustinerchorherrenstift St. Nikolaus (St. Nikola), Passau",Point(13.45680784 48.570467688),1067,http://www.wikidata.org/entity/Q768419
"Augustinerchorherrenstift St. Nikolaus (St. Nikola), Passau",Point(13.457233333 48.570783333),1067,http://www.wikidata.org/entity/Q768419
Augustinerkloster Fährbrück,Point(10.045077777 49.917872222),1164,http://www.wikidata.org/entity/Q768513
"Zisterzienserkloster Marienrode (früher Backenrode), zuvor Augustinerchorherrenstift",Point(9.91431 52.1139),1125,http://www.wikidata.org/entity/Q896113
Augustinerchorherrenstift Wechselburg (Kloster Zschillen),Point(12.771111111 51.005),1160,http://www.wikidata.org/entity/Q1776257
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094722222 48.851111111),1101,http://www.wikidata.org/entity/Q1345581
"Augustinereremitenkloster Tittmoning, Allerheiligen",Point(12.7672 48.0611),1682,http://www.wikidata.org/entity/Q1267227
"Augustinerchorherren-, später Benediktinerkloster St. Michael, Paring",Point(12.094720021 48.850890083),1101,http://www.wikidata.org/entity/Q1345581
Augustinereremitenkloster Pappenheim,Point(10.971348 48.934031),1372,http://www.wikidata.org/entity/Q1305052
