monastery,geometry,year,wikidata_entry
Benediktinerkloster Kornelimünster,Point(6.178056 50.728611),801,http://www.wikidata.org/entity/Q152432
Benediktinerabtei Schuttern,Point(7.8525 48.381944),601,http://www.wikidata.org/entity/Q315198
Benediktinerabtei Amorbach,Point(9.219725939 49.643387806),701,http://www.wikidata.org/entity/Q315332
Benediktinerabtei Amorbach,Point(9.220113888 49.642886111),701,http://www.wikidata.org/entity/Q315332
Reichsabtei Hersfeld (Benediktiner),Point(9.70224 50.86627),701,http://www.wikidata.org/entity/Q314666
"Benediktinerkloster Abdinghof, Paderborn",Point(8.75278 51.7186),1015,http://www.wikidata.org/entity/Q308201
Benediktinerkloster Elchingen,Point(10.0881 48.4524),1128,http://www.wikidata.org/entity/Q315382
Benediktinerabtei Plankstetten,Point(11.454051032 49.069077026),1101,http://www.wikidata.org/entity/Q319484
"Benediktinerkloster Thankmarsfelde, später Nienburg",Point(11.771758333 51.836511111),901,http://www.wikidata.org/entity/Q317443
Benediktinerabtei Gengenbach,Point(8.0171 48.4042),725,http://www.wikidata.org/entity/Q316077
Benediktinerkloster Saalfeld,Point(11.3585 50.6524),1071,http://www.wikidata.org/entity/Q817038
"Benediktinerinnenkloster Dobbertin, zuvor Benediktiner",Point(12.0775 53.615),1201,http://www.wikidata.org/entity/Q823818
"Benediktinerinnenkloster St. Maria, Fulda",Point(9.6773 50.553),1626,http://www.wikidata.org/entity/Q817050
Benediktinerinnen-Abtei Steinfeld,Point(6.56349 50.5022),1955,http://www.wikidata.org/entity/Q817044
Benediktinerkloster Tegernsee,Point(11.756854504 47.707440018),701,http://www.wikidata.org/entity/Q448527
Benediktinerkloster Scharnitz,Point(11.23874444 47.48187222),701,http://www.wikidata.org/entity/Q457336
Benediktinerkloster Scharnitz,Point(11.23874444 47.48187222),763,http://www.wikidata.org/entity/Q457336
Benediktinerkloster Aachen Burtscheid,Point(6.09333 50.7631),1138,http://www.wikidata.org/entity/Q325202
"Benediktinerabtei St. Alban, Mainz",Point(8.28 49.99),701,http://www.wikidata.org/entity/Q320189
"Benediktinerabtei St. Alban, Mainz",Point(8.28 49.99),901,http://www.wikidata.org/entity/Q320189
Benediktinerkloster Ottobeuren,Point(10.2981 47.9414),764,http://www.wikidata.org/entity/Q702001
"Benediktinerkloster St. Salvator, Fulda",Point(9.67175 50.554027777),744,http://www.wikidata.org/entity/Q661240
Benediktinerkloster Frauenzell,Point(12.3706 49.0557),1301,http://www.wikidata.org/entity/Q610507
Benediktinerkloster Ettal,Point(11.094658627 47.569577059),1301,http://www.wikidata.org/entity/Q253359
Benediktinerkloster Weltenburg,Point(11.819722222 48.898888888),601,http://www.wikidata.org/entity/Q260108
Benediktinerkloster Attel,Point(12.1754656 48.023412169),1037,http://www.wikidata.org/entity/Q204075
Benediktinerkloster Attel,Point(12.1754656 48.023412169),1137,http://www.wikidata.org/entity/Q204075
"Benediktinerabtei St. Martin, Wiblingen",Point(9.992 48.3617),1701,http://www.wikidata.org/entity/Q181304
Benediktinerabtei Andechs,Point(11.182454806 47.974659939),1401,http://www.wikidata.org/entity/Q259971
"Kollegiatstift St. Ulrich und Afra, Augsburg, später Benediktiner",Point(10.9004 48.3614),1577,http://www.wikidata.org/entity/Q458378
Benediktinerabtei Zwiefalten,Point(9.46135 48.232),1089,http://www.wikidata.org/entity/Q460308
Benediktinerkloster Irsee,Point(10.574434776 47.910435022),1694,http://www.wikidata.org/entity/Q461372
Benediktinerkloster Chammünster,Point(12.6941 49.2113),701,http://www.wikidata.org/entity/Q1775122
Benediktinerkloster Biburg,Point(11.8566 48.7922),1101,http://www.wikidata.org/entity/Q1775035
Benediktinerabtei Bursfelde,Point(9.624722 51.541667),1001,http://www.wikidata.org/entity/Q1775099
Benediktinerinnenkloster Frauenchiemsee,Point(12.42487239 47.872191395),782,http://www.wikidata.org/entity/Q1749393
Benediktinerkloster Berg im Donaugau,Point(11.23983 48.635),768,http://www.wikidata.org/entity/Q1775023
Benediktinerkloster Fultenbach,Point(10.5747 48.4898),701,http://www.wikidata.org/entity/Q1775247
