monastery,geometry,year,wikidata_entry
Dominikanerkloster Landshut,Point(12.155833333 48.536944444),1271,http://www.wikidata.org/entity/Q1237986
Dominikanerkloster Landshut,Point(12.156021256 48.537702198),1271,http://www.wikidata.org/entity/Q1237986
Dominikanerkloster St. Albert (Leipzig),Point(12.3204 51.3756),1951,http://www.wikidata.org/entity/Q1238001
Dominikanerkloster,Point(8.68778 50.1117),1233,http://www.wikidata.org/entity/Q1237975
Dominikanerinnenkloster Altenhohenau,Point(12.177451777 48.008164211),1235,http://www.wikidata.org/entity/Q1774943
Dominikanerinnenkloster Kirchberg,Point(8.73278 48.3581),1237,http://www.wikidata.org/entity/Q882051
Dominikanerinnenkloster Nürnberg,Point(11.082130337 49.451990592),1201,http://www.wikidata.org/entity/Q1736108
"Dominikanerinnenkloster St. Maria und St. Agnes, Liebenau",Point(8.34813 49.6412),1299,http://www.wikidata.org/entity/Q941693
Dominikanerinnenkloster Hedingen,Point(9.22361 48.0819),1338,http://www.wikidata.org/entity/Q1775304
Dominikanerinnenkloster Schwarzhofen,Point(12.343164035 49.377811222),1244,http://www.wikidata.org/entity/Q1776006
Dominikanerinnenkloster Schwarzhofen,Point(12.343888888 49.378055555),1244,http://www.wikidata.org/entity/Q1776006
Dominikanerkloster Brandenburg an der Havel,Point(12.563 52.4063),1286,http://www.wikidata.org/entity/Q1776110
Dominikanerinnenkloster Engeltal,Point(8.49639 48.486492),1292,http://www.wikidata.org/entity/Q18202304
"Dominikanerkloster St. Katharina, Bremen",Point(8.80861 53.0779),1225,http://www.wikidata.org/entity/Q2316350
Dominikanerkloster Hildesheim,Point(9.949761 52.147464),1181,http://www.wikidata.org/entity/Q28976535
Dominikanerkloster Stuttgart,Point(9.17274642 48.77771276),1471,http://www.wikidata.org/entity/Q28976626
Dominikanerinnenkloster Andernach,Point(7.399146 50.433407),1415,http://www.wikidata.org/entity/Q28978019
"Dominikaner-Terziarinnenkloster Marienbongard, Aachen",Point(6.079031 50.779502),1695,http://www.wikidata.org/entity/Q28978214
"Dominikanerkloster St. Paul, Aachen",Point(6.078307 50.7745),1294,http://www.wikidata.org/entity/Q28978213
Dominikanerkloster Mergentheim,Point(9.77376 49.489416),1270,http://www.wikidata.org/entity/Q28976775
Dominikanerinnenkloster Pforzheim,Point(8.70135649 48.88958266),1257,http://www.wikidata.org/entity/Q28976751
Dominikanerkloster Wimpfen,Point(9.16073972 49.22840056),1264,http://www.wikidata.org/entity/Q28976710
Dominikanerinnenkloster Biberach,Point(9.7907196 48.09806212),1283,http://www.wikidata.org/entity/Q28976763
Dominikanerkloster Plauen,Point(12.13483 50.49117),1266,http://www.wikidata.org/entity/Q28976693
Dominikanerinnenkloster Itzingen,Point(9.19956065 49.03642767),1261,http://www.wikidata.org/entity/Q28976722
Dominikanerkloster Pforzheim,Point(8.70382852 48.89124359),1275,http://www.wikidata.org/entity/Q28976752
Dominikanerinnenkloster Weida,Point(12.061062 50.775099),1292,http://www.wikidata.org/entity/Q28976714
"Frauenkloster Heilig Geist, Alzey, später Dominikanerinnen (?), dann Zisterzienserinnen",Point(8.125634 49.745157),1290,http://www.wikidata.org/entity/Q15823909
Dominikanerinnenkloster Dornstetten,Point(8.50023795 48.46856664),1276,http://www.wikidata.org/entity/Q28976897
Dominikanerkloster Schwäbisch Gmünd,Point(9.79595783 48.79998137),1294,http://www.wikidata.org/entity/Q28976824
Dominikanerkloster Heidelberg,Point(8.69775875 49.41083632),1476,http://www.wikidata.org/entity/Q28976854
Dominikanerinnenkloster Heidelberg,Point(8.70163989 49.4093628),1704,http://www.wikidata.org/entity/Q28976870
Dominikanerinnenkloster Horb,Point(8.68684096 48.44493488),1218,http://www.wikidata.org/entity/Q28976904
Dominikanerinnenkloster Bopfingen,Point(10.35098432 48.85757716),1264,http://www.wikidata.org/entity/Q28976811
"Dominikanerinnenkloster St. Margareth, Augsburg",Point(10.903265 48.360964),1261,http://www.wikidata.org/entity/Q28978895
Dominikanerkloster Augsburg,Point(10.901 48.3653),1225,http://www.wikidata.org/entity/Q28978897
"Dominikanerinnenkloster Klause bei St. Jakob, Rottweil",Point(8.6388069 48.15713144),1307,http://www.wikidata.org/entity/Q28976970
"Dominikanerinnenkloster Klause von St. Moritz, Rottweil",Point(8.63940976 48.1593367),1331,http://www.wikidata.org/entity/Q28976971
Dominikanerinnenkloster Rottweil,Point(8.6240056 48.16854157),1306,http://www.wikidata.org/entity/Q28976976
Dominikanerkloster Hamburg,Point(9.993056 53.550833),1231,http://www.wikidata.org/entity/Q28978939
Dominikanerkloster Meldorf,Point(9.074686 54.090991),1378,http://www.wikidata.org/entity/Q28978988
Dominikanerkloster Strausberg,Point(13.879585 52.581873),1254,http://www.wikidata.org/entity/Q28979493
"Dominikanerkloster St. Maria Magdalena, Schleswig",Point(9.569409 54.512368),1235,http://www.wikidata.org/entity/Q28979035
Dominikanerkloster Luckau,Point(13.716471 51.853188),1291,http://www.wikidata.org/entity/Q28979458
Dominikanerkloster Meldorf,Point(9.074743 54.091025),1378,http://www.wikidata.org/entity/Q28978988
"Dominikanerinnenkloster Maria zu den Engeln, Pfullendorf",Point(9.25511259 47.92476812),1255,http://www.wikidata.org/entity/Q28977225
Dominikanerinnenkloster Buchhorn,Point(9.4796688 47.65089361),1260,http://www.wikidata.org/entity/Q28977165
Dominikanerinnenkloster Hl. Kreuz Meersburg,Point(9.2719985 47.69504351),1300,http://www.wikidata.org/entity/Q28977174
Dominikanerinnenkloster Hirrlingen,Point(8.88892466 48.41096235),1358,http://www.wikidata.org/entity/Q28977085
Dominikanerinnenkloster Balingen,Point(8.85390352 48.27653146),1430,http://www.wikidata.org/entity/Q28977093
Dominikanerkloster Ulm,Point(9.99684981 48.39729381),1281,http://www.wikidata.org/entity/Q28977142
Dominikanerinnenkloster Hochmauren,Point(8.64412467 48.15589792),1200,http://www.wikidata.org/entity/Q28977256
Dominikanerinnenkloster Dornhan,Point(8.5084484 48.35049729),1360,http://www.wikidata.org/entity/Q28977343
Dominikanerinnenkloster Kirchheim,Point(9.45345739 48.64991173),1247,http://www.wikidata.org/entity/Q28977237
"Dominikanerinnenkloster (?) ""Frauen zu St. Wendelin"" Sulz",Point(8.63201072 48.36131822),1387,http://www.wikidata.org/entity/Q28977391
"Dominikanerkloster St. Katharinen, Halberstadt",Point(11.04985 51.89825),1231,http://www.wikidata.org/entity/Q28977537
"Dominikaner-Terziarinnen (?) ""Klause"" Sulz",Point(8.63256264 48.36150884),1363,http://www.wikidata.org/entity/Q28977390
Dominikanerinnenkloster Halberstadt,Point(11.05133 51.89167),1289,http://www.wikidata.org/entity/Q28977552
Dominikanerkloster Neuruppin,Point(12.810245 52.922424),1246,http://www.wikidata.org/entity/Q28977758
Dominikanerkloster Freiberg,Point(13.34093 50.91955),1236,http://www.wikidata.org/entity/Q99539407
"Prämonstratenserinnenstift Lauffen, zuvor Benediktinerinnen und Dominikanerinnen",Point(9.15164705 49.07956315),1003,http://www.wikidata.org/entity/Q24045713
Dominikanerterziarinnenkloster Damme,Point(8.19233 52.52017),1709,http://www.wikidata.org/entity/Q28981335
"Dominikanerterziarinnenkloster Münster, genannt Verspoel",Point(7.627327 51.957117),1686,http://www.wikidata.org/entity/Q28981812
Dominikanerkloster Osnabrück,Point(8.039556 52.278944),1295,http://www.wikidata.org/entity/Q28980201
Dominikanerkloster (?) Goslar,Point(10.42467 51.90433),1297,http://www.wikidata.org/entity/Q28980554
Dominikanerkloster Münster,Point(7.630833 51.961944),1649,http://www.wikidata.org/entity/Q28981894
Dominikanerkloster Prenzlau,Point(13.8608965 53.3099163),1275,http://www.wikidata.org/entity/Q56572601
