monastery,geometry,year,wikidata_entry
Johanniterkommende Burmönken (Wittmund),Point(7.81438 53.5531),1269,http://www.wikidata.org/entity/Q1751906
Johanniter-Doppelkommende Jemgum,Point(7.38755 53.2645),1235,http://www.wikidata.org/entity/Q979172
Johanniterkomturei Nemerow,Point(13.2146 53.4899),1298,http://www.wikidata.org/entity/Q1781052
"Johanniterkommende St. Johann Baptist, Heimbach",Point(8.24435 49.2502),1207,http://www.wikidata.org/entity/Q1781048
Johanniter-Doppelkommende Muhde,Point(7.41889 53.2056),1279,http://www.wikidata.org/entity/Q1478495
Johanniterkommende Braunschweig,Point(10.521116 52.261893),1173,http://www.wikidata.org/entity/Q28977762
Johanniterkommende Adenau,Point(6.930119991 50.38300304),1162,http://www.wikidata.org/entity/Q28978000
Johanniterkommende Esterwegen,Point(7.632156 52.994058),1223,http://www.wikidata.org/entity/Q28977861
Johanniterkommende Dinslaken,Point(6.73717 51.55683),1334,http://www.wikidata.org/entity/Q28977972
"Templerniederlassung, dann Johanniterkommende Niederbreisig",Point(7.303289 50.506175),1200,http://www.wikidata.org/entity/Q28978030
Johanniterkommende Borken,Point(6.859744 51.843033),1265,http://www.wikidata.org/entity/Q28978186
"Johanniterkommende St. Johannes der Täufer, Hangen-Weisheim",Point(8.186005 49.711757),1306,http://www.wikidata.org/entity/Q28978058
Johanniterniederlassung Aachen,Point(6.079464 50.775482),1263,http://www.wikidata.org/entity/Q28978223
Johanniterkommende St. Leonhard,Point(12.08583 49.02148),1101,http://www.wikidata.org/entity/Q28648972
"Kollegiatstift Süpplingenburg, später Templerkomturei, später Johanniterkommende",Point(10.9046573 52.2508026),1125,http://www.wikidata.org/entity/Q28976599
Johanniterkommende Fallersleben,Point(10.7175 52.41783),1451,http://www.wikidata.org/entity/Q28976593
Johanniterkommende Hassel,Point(7.10017 51.55017),1681,http://www.wikidata.org/entity/Q28978351
Johanniterkommende Herford,Point(8.676565 52.115048),1285,http://www.wikidata.org/entity/Q28978354
Johanniterkommende Duisburg,Point(6.77017 51.43667),1189,http://www.wikidata.org/entity/Q28978267
Johanniterkommende Lage,Point(8.026215 52.49664),1245,http://www.wikidata.org/entity/Q28979244
Johanniterhaus Schwenningen,Point(8.53651034 48.06695664),1212,http://www.wikidata.org/entity/Q28976989
Johanniterkommende Neuenburg am Rhein,Point(7.55981387 47.81239967),1257,http://www.wikidata.org/entity/Q28976945
Johanniterkommende Heitersheim,Point(7.67279418 47.87029777),1272,http://www.wikidata.org/entity/Q28976934
Johanniterordenshaus Lenzkirch,Point(8.20474595 47.8686645),1316,http://www.wikidata.org/entity/Q28976937
Johanniterkommende Villingen,Point(8.46178284 48.05836627),1253,http://www.wikidata.org/entity/Q28976992
Johanniterkommende Bruchsal,Point(8.59733429 49.12437243),1272,http://www.wikidata.org/entity/Q28976836
Johanniterkommende Schwäbisch Hall,Point(9.73271994 49.1132388),1190,http://www.wikidata.org/entity/Q28976801
Johanniterkommende Mergentheim,Point(9.77398652 49.49187763),1208,http://www.wikidata.org/entity/Q28976773
Johanniterordenshaus Kenzingen,Point(7.76735192 48.1915107),1311,http://www.wikidata.org/entity/Q28976818
Johanniterkommende Neckarelz,Point(9.10297028 49.3416616),1297,http://www.wikidata.org/entity/Q28976878
"Templer-, später Johanniterkommende Lietzen",Point(14.335133 52.483724),1229,http://www.wikidata.org/entity/Q28979452
Johanniterkommende Lemwerder,Point(8.617 53.15817),1261,http://www.wikidata.org/entity/Q28979743
"Templer-, später Johanniterkommende Lietzen",Point(14.335404 52.483768),1229,http://www.wikidata.org/entity/Q28979452
Johanniterkommende Tjüchen (Wittmund),Point(7.784 53.57333),1269,http://www.wikidata.org/entity/Q28980759
Johanniterhof Jungental bei Starzeln,Point(9.06420379 48.30529323),1406,http://www.wikidata.org/entity/Q28977110
Johanniterkommende Überlingen,Point(9.15946717 47.76868269),1257,http://www.wikidata.org/entity/Q28977184
Johanniterkommende Hemmendorf,Point(8.92037303 48.41838043),1258,http://www.wikidata.org/entity/Q28977078
Johanniterkommende Rottweil,Point(8.62926202 48.16670599),1247,http://www.wikidata.org/entity/Q28977306
"Johanniterkommende Hl. Grab, Goslar",Point(10.418936 51.90956),1164,http://www.wikidata.org/entity/Q21157942
"Johanniterkommende Velden, Düren",Point(6.47049 50.81148),1291,http://www.wikidata.org/entity/Q21037151
Johanniterkommende Münster,Point(7.624722 51.965903),1251,http://www.wikidata.org/entity/Q28981725
