monastery,geometry,year,wikidata_entry
Zisterzienserkloster Fürstenfeld,Point(11.249592078 48.169740071),1258,http://www.wikidata.org/entity/Q315489
Zisterzienserkloster Ebrach,Point(10.4942 49.8469),1127,http://www.wikidata.org/entity/Q315482
Zisterzienserabtei Loccum,Point(9.15056 52.4519),1101,http://www.wikidata.org/entity/Q314258
"Zisterzienser/-innenkloster St. Maria, Alt-Bottenbroich",Point(6.73806 50.885),1201,http://www.wikidata.org/entity/Q744788
Zisterzienserkloster Kaisheim,Point(10.7983 48.7673),1135,http://www.wikidata.org/entity/Q749658
Zisterzienserkloster Eberbach,Point(8.046666666 50.0425),1136,http://www.wikidata.org/entity/Q697766
Zisterzienserkloster Marienstatt,Point(7.803055555 50.685),1212,http://www.wikidata.org/entity/Q334038
Zisterzienserkloster Volkenroda,Point(10.566666666 51.25),1101,http://www.wikidata.org/entity/Q324119
Zisterzienserabtei Schöntal,Point(9.5047 49.3281),1153,http://www.wikidata.org/entity/Q328036
Zisterzienserkloster Pforta,Point(11.7527 51.1422),1101,http://www.wikidata.org/entity/Q206083
Zisterzienserinnenkloster Saarn (Mariensaal),Point(6.88164 51.403),1200,http://www.wikidata.org/entity/Q206088
Zisterzienserkloster Rüde (Rudekloster),Point(9.54355 54.8317),1201,http://www.wikidata.org/entity/Q206099
"Zisterzienserinnenkloster Georgenbusch (St. Jöris), Eschweiler-Kinzweiler",Point(6.21083 50.8353),1224,http://www.wikidata.org/entity/Q206092
Zisterzienserabtei Lehnin,Point(12.743333333 52.320277777),1180,http://www.wikidata.org/entity/Q561860
Zisterzienserabtei Maulbronn,Point(8.8129 49.0011),1147,http://www.wikidata.org/entity/Q157886
Zisterzienserinnenkloster Donndorf,Point(11.3573 51.296),1308,http://www.wikidata.org/entity/Q1775171
Zisterzienserinnenkloster Duissern,Point(6.76419 51.4369),1234,http://www.wikidata.org/entity/Q1775177
Zisterzienserabtei Dobrilugk,Point(13.5454 51.6111),1101,http://www.wikidata.org/entity/Q1775168
Zisterzienserinnenabtei Rottenmünster,Point(8.63498 48.1509),1201,http://www.wikidata.org/entity/Q831398
Zisterzienserkloster Aldersbach,Point(13.086090904 48.588162543),1120,http://www.wikidata.org/entity/Q1774939
Zisterzienserkloster Bildhausen,Point(10.287196288 50.275973352),1156,http://www.wikidata.org/entity/Q1775031
Zisterzienserabtei Bronnbach,Point(9.547222222 49.7125),1151,http://www.wikidata.org/entity/Q1775087
Zisterzienserinnenkloster Caldern,Point(8.66328835 50.84451438),1238,http://www.wikidata.org/entity/Q1775103
Zisterzienserinnenkloster Kapellendorf,Point(11.4694 50.9747),1235,http://www.wikidata.org/entity/Q1751703
Zisterzienserinnenkloster Beuren,Point(10.2706 51.3816),1200,http://www.wikidata.org/entity/Q1775027
Zisterzienserabtei Bredelar,Point(8.7725 51.4178),1196,http://www.wikidata.org/entity/Q1775083
Zisterzienserinnenkloster Rosenthal (Kerzenheim),Point(8.01222 49.5603),1241,http://www.wikidata.org/entity/Q1766421
Zisterzienserkloster Aldersbach,Point(13.086041666 48.587641666),1120,http://www.wikidata.org/entity/Q1774939
Zisterzienserkloster Bildhausen,Point(10.2875 50.276944444),1156,http://www.wikidata.org/entity/Q1775031
Zisterzienserinnenkloster Lilienthal,Point(8.91146 53.1414),1232,http://www.wikidata.org/entity/Q2750912
Zisterzienserinnenabtei Baindt,Point(9.665833 47.842778),1376,http://www.wikidata.org/entity/Q468189
Zisterzienserinnenabtei Gutenzell,Point(9.99597 48.1147),1238,http://www.wikidata.org/entity/Q477383
Zisterzienserinnenkloster Falkenhagen,Point(9.30655 51.8901),1246,http://www.wikidata.org/entity/Q1775214
Zisterzienserabtei Eußerthal,Point(7.97027778 49.24166667),1101,http://www.wikidata.org/entity/Q1775211
Zisterzienserkloster Fürstenzell,Point(13.3196 48.5212),1274,http://www.wikidata.org/entity/Q1775251
Zisterzienserabtei Hardehausen,Point(8.998963888 51.549733333),1140,http://www.wikidata.org/entity/Q1775300
Zisterzienserabtei Bebenhausen,Point(9.06072 48.56137),1101,http://www.wikidata.org/entity/Q518676
Zisterzienserinnenkloster Frauenroth,Point(10.018582441 50.261672441),1231,http://www.wikidata.org/entity/Q291044
Zisterzienserinnenkloster Frauenroth,Point(10.00942 50.24667),1231,http://www.wikidata.org/entity/Q291044
Zisterzienserinnenkloster Himmelkron,Point(11.593427814 50.062393085),1279,http://www.wikidata.org/entity/Q1775349
"Zisterzienserinnenkloster Himmelspforten, Würzburg",Point(9.90477 49.8004),1231,http://www.wikidata.org/entity/Q1775351
Zisterzienserinnenkloster Himmelthal,Point(9.219494806 49.822874418),1232,http://www.wikidata.org/entity/Q1775359
Zisterzienserabtei Ihlow,Point(7.45889 53.4042),1228,http://www.wikidata.org/entity/Q1775381
"Zisterzienserinnenkloster Himmelspforten, Würzburg",Point(9.904486379 49.800224361),1231,http://www.wikidata.org/entity/Q1775351
Zisterzienserinnenkloster Himmelthal,Point(9.219444444 49.822222222),1232,http://www.wikidata.org/entity/Q1775359
Zisterzienserinnenkloster Himmelkron,Point(11.5932 50.0623),1279,http://www.wikidata.org/entity/Q1775349
Zisterzienserkloster Pielenhofen,Point(11.9571 49.0734),1240,http://www.wikidata.org/entity/Q880728
Zisterzienserkloster Grünhain,Point(12.8111 50.5796),1233,http://www.wikidata.org/entity/Q876202
Zisterzienserkloster Doberan,Point(11.9097 54.1078),1171,http://www.wikidata.org/entity/Q869603
"Zisterzienserinnenkloster Graefenthal, Asperden",Point(6.10611 51.7058),1248,http://www.wikidata.org/entity/Q876087
Zisterzienserkloster Pielenhofen,Point(11.956923189 49.073689994),1240,http://www.wikidata.org/entity/Q880728
Zisterzienserkloster Amelungsborn,Point(9.59306 51.8972),1135,http://www.wikidata.org/entity/Q880834
Zisterzienserabtei Herrenalb,Point(8.4369 48.7962),1150,http://www.wikidata.org/entity/Q877810
Zisterzienserkloster Arnsburg,Point(8.79212 50.4937),1101,http://www.wikidata.org/entity/Q882370
Zisterzienserinnenkloster St. Katharinen (bei Neuwied),Point(7.34538 50.5914),1200,http://www.wikidata.org/entity/Q1170991
"Zisterzienserinnenkloster Levern, später Damenstift",Point(8.45416667 52.37444444),1227,http://www.wikidata.org/entity/Q1775517
"Wilhelmiten-, später Zisterzienserkloster Groß-Burlo (Borken)",Point(6.77811 51.9064),1245,http://www.wikidata.org/entity/Q1775612
"Zisterzienserinnenkloster Marienborn, Büdingen",Point(9.0138 50.2457),1250,http://www.wikidata.org/entity/Q1775601
"Wilhelmiten-, später Zisterzienserkloster Groß-Burlo (Borken)",Point(6.778339 51.906099),1245,http://www.wikidata.org/entity/Q1775612
"Zisterzienserinnenkloster Marienbuch, Rengering",Point(7.90434 52.0269),1247,http://www.wikidata.org/entity/Q1775851
Zisterzienserkloster Raitenhaslach,Point(12.787242812 48.128365956),1143,http://www.wikidata.org/entity/Q1775833
"Zisterzienserkloster Rosengarten, Neuenkamp",Point(12.8756 54.1861),1231,http://www.wikidata.org/entity/Q1775707
Zisterzienserkloster Reifenstein,Point(10.36333333 51.34666667),1101,http://www.wikidata.org/entity/Q1775849
Zisterzienserinnenkloster Rulle,Point(8.05365 52.3357),1246,http://www.wikidata.org/entity/Q1775872
Zisterzienserabtei Reinfeld,Point(10.4793 53.8321),1186,http://www.wikidata.org/entity/Q1775850
"Zisterzienserkloster St. Maria und Peter, Heisterbach",Point(7.21389 50.6953),1101,http://www.wikidata.org/entity/Q897297
Zisterzienserabtei Zinna,Point(13.1039 52.0225),1101,http://www.wikidata.org/entity/Q895983
Zisterzienserabtei Riddagshausen,Point(10.5773 52.2674),1101,http://www.wikidata.org/entity/Q896558
Zisterzienserinnenkloster Heydau (auch Haydau),Point(9.61783 51.0662),1235,http://www.wikidata.org/entity/Q892609
Zisterzienserabtei Himmelpfort,Point(13.2293 53.1778),1299,http://www.wikidata.org/entity/Q935936
Zisterzienserabtei Neuzelle,Point(14.6522 52.0906),1268,http://www.wikidata.org/entity/Q895757
"Zisterzienserkloster Marienrode (früher Backenrode), zuvor Augustinerchorherrenstift",Point(9.91431 52.1139),1125,http://www.wikidata.org/entity/Q896113
Zisterzienserabtei Scharnebeck,Point(10.5109 53.293),1243,http://www.wikidata.org/entity/Q1775992
"Zisterzienserinnenkloster Seligenporten, später Salesianerinnen",Point(11.3082 49.2654),1242,http://www.wikidata.org/entity/Q1776028
"Zisterzienserinnenkloster Seligenporten, später Salesianerinnen",Point(11.308313288 49.265323178),1242,http://www.wikidata.org/entity/Q1776028
Zisterzienserabtei Schönau,Point(8.8094 49.4359),1142,http://www.wikidata.org/entity/Q1776013
"Zisterzienserinnen-, später Benediktinerinnenkloster St. Georg, Leipzig",Point(12.3702 51.3348),1230,http://www.wikidata.org/entity/Q1233754
Zisterzienserinnenkloster Bersenbrück,Point(7.95008 52.5554),1231,http://www.wikidata.org/entity/Q1255289
Zisterzienserkloster Langheim,Point(11.1101 50.1122),1132,http://www.wikidata.org/entity/Q1357562
Zisterzienserinnenkloster Mariengarten,Point(9.86833 51.4458),1245,http://www.wikidata.org/entity/Q1308394
Zisterzienserinnenkloster Malchow,Point(12.4315 53.4715),1201,http://www.wikidata.org/entity/Q1319469
Zisterzienserinnenkloster Gnadenthal,Point(8.2152 50.3093),1201,http://www.wikidata.org/entity/Q1237152
Zisterzienserinnenkloster Thron (bei Wehrheim),Point(8.5776 50.2847),1243,http://www.wikidata.org/entity/Q1267457
Zisterzienserinnenkloster Sonnefeld,Point(11.134025606 50.221536294),1260,http://www.wikidata.org/entity/Q1776049
