place_name,feature_type,latitude,longitude
Acapulco,,16.84942,-99.90891
Adams County,,38.84551,-83.47215
Adamstown,,40.2412,-76.05633
Africa,,37.84033,-87.07277
Albany,,42.65258,-73.75623
Algiers,,38.48727,-87.17501
Allegheny,,35.98844,-82.66736
Allegheny River,H,40.4434,-80.01505
Allentown,,40.60843,-75.49018
Amboy,,34.80592,-92.29154
America,,37.13838,-89.12368
Amherstburg,,42.10009,-83.09985
Ancaster,,43.20917,-80.01194
Annapolis,,38.97859,-76.49184
Astrachan,,59.62276,33.66004
Asylum,,41.71313,-76.33355
Atlantic Ocean,H,48.54997,-55.98154
Attike,,40.81645,-79.52199
Augusta,,38.77174,-84.00576
Baltimore,,39.29038,-76.61219
Barbados,,13.16453,-59.55165
Barby,,51.96711,11.88261
Barton,,43.23341,-79.86633
Bass Islands,,41.68338,-82.81241
Bath,,42.33702,-77.31776
Bay of Quinte,H,44.15012,-77.24946
Beaver,,40.69534,-80.30478
Beaver Creek,H,39.94145,-83.76132
Beaver Dam,,45.78915,-66.69517
Beaver River,H,53.73547,-60.93575
Bedford,,40.01869,-78.50391
Bedford,,42.49065,-71.27617
Bedford County,,40.00656,-78.49032
Beersheba,,35.03791,-81.31925
Belle River,H,45.97366,-62.84619
Belmont County,,40.0158,-80.98854
Berbice,,5.45,-57.95
Berks County,,40.4163,-75.926
Berlin,,54.03573,10.44987
Bern,,46.94809,7.44744
Berthelsdorf,,51.04679,14.22197
Bethabara,,35.00704,-83.66239
Bethel,,40.47454,-76.29134
Bethlehem,,40.86173,-78.73031
Big Beaver Creek,H,39.94816,-76.25162
Big Sodus Bay,H,43.33817,-76.72821
Bigbear Creek,H,48.862,-84.49419
Black Creek,H,46.2501,-62.44864
Black River,H,41.47282,-82.18404
Blue Mountains,T,40.12453,-77.66638
Blue Mountains,T,39.95037,-77.93667
Boston,,42.35843,-71.05977
Bound Brook,,40.56844,-74.53849
Brant's Town,,49.25014,-84.49983
Brantford,,43.1668,-80.29967
Bremen,,53.08333,8.83333
Bristol,,40.10067,-74.85183
Broad Mountain,T,39.98231,-77.8225
Brotherton,,42.94868,-75.42128
Brownstown,,42.07782,-83.18937
Bucks County,,40.33694,-75.10687
Buffalo,,42.88645,-78.87837
Buffalo Creek,H,40.26451,-80.61535
Burlington,,43.38621,-79.83713
Burlington,,40.07122,-74.86489
Butler County,,39.43865,-84.57566
Caledonia,,42.97312,-77.85278
California,,39.00934,-120.77076
Cambridge,,40.03118,-81.58846
Camden,,42.56678,-82.06649
Canaan,,42.02731,-73.32928
Canada,,60.10867,-113.64258
Canajoharis,,42.90563,-74.57181
Canandagua,,42.87423,-77.28804
Canaseraga Creek,H,42.75534,-77.84056
Canoos,,42.16979,-78.38891
Canoos,,39.86427,-76.88998
Canterbury,,45.89541,-67.46781
Canton,,40.79895,-81.37845
Cape Cod,T,41.6862,-70.24308
Cape of Good Hope,T,-34.35027,18.47909
Caribbean Islands,,27.63059,-97.30332
Carleton Island,,58.05029,-102.01744
Carlisle,,40.20148,-77.18887
Carolina,,31.24073,-86.52774
Catskill,,42.21731,-73.86457
Catskill Mountains,T,42.25036,-74.24987
Cayuga,,42.91896,-76.72634
Cayuga Lake,,42.58171,-76.63492
Chartiers Creek,H,40.46507,-80.05283
Chemung,,42.00841,-76.62384
Chenango,,30.33242,-91.25622
Cherokee River,H,40.41672,-83.79521
Chester,,39.84967,-75.35707
Chester County,,39.97314,-75.74845
Chestnut Hill,T,39.65094,-75.77049
Chestnut Hill near Gnadenhutten,T,41.04148,-75.63741
Chippawa,,43.0571,-79.04717
Chippewa,,44.49736,-76.82644
Chippewa Creek,H,46.3001,-79.46633
Chippewa Town,,44.49736,-76.82644
Christian Spring,,40.73426,-75.34074
Christiansbrunn,,39.95483,-75.99689
Cincinnati,,39.12711,-84.51439
Cleveland,,41.4995,-81.69541
Clinton River,H,42.59476,-82.77547
Codorus Creek,H,40.05843,-76.64413
Columbia,,39.11173,-84.43466
Conestoga,,39.94066,-76.34635
Connecticut,,41.66704,-72.66648
Conrad Weiser's Creek,H,40.34454,-75.95021
Copenhagen,,55.67594,12.56553
Cornelius Creek,H,34.71259,-87.84614
Cornwall,,41.84371,-73.32928
Coshocton,,40.27202,-81.85958
Cranberry,,39.85206,-74.1932
Credit River,H,43.55206,-79.59372
Croton River,H,41.18371,-73.87958
Cumberland County,,40.16363,-77.26555
Cunningham Island,,45.4168,-75.74935
Cuyahoga River,H,41.50366,-81.71235
Cuyahoga River and place,H,41.50366,-81.71235
Damascus,,45.462,-65.80302
Danbury,,41.39482,-73.45401
Dansville,,42.5609,-77.69611
Dartmouth College,,43.70035,-72.28641
Dauphin County,,40.41544,-76.77947
Deer Creek,H,39.61213,-83.24082
Delaware River,H,39.43261,-75.52881
Delaware River Valley,T,41.36509,-74.68961
Derby,,41.32065,-73.089
Detroit,,42.33143,-83.04575
Detroit River,H,42.04116,-83.14986
Detroit River Island,H,42.04116,-83.14986
Dry Ridge,,39.98091,-78.65807
Dublin,,53.33306,-6.24889
Dundas,,43.27291,-79.94216
Dungannon,,45.05012,-77.7495
Dutchess County,,41.76515,-73.74286
East Indies,,42.06318,-73.19284
Easton,,41.12728,-79.54088
Elizabeth,,40.66399,-74.2107
Elizabethtown,,40.15287,-76.60275
Emmaus,,40.53954,-75.49685
England,,34.54426,-91.96903
Ephrata,,40.17982,-76.17884
Esopus,,41.82787,-73.96514
Europe,,45.27262,-86.98636
Eva Creek,H,51.03466,-127.34628
Fairfield,,41.14121,-73.26373
Falls of the Ohio,H,38.27201,-85.75218
Fannetsburg,,40.06509,-77.82944
Farmington,,41.71982,-72.83204
Fayette County,,39.9199,-79.64737
Ferry House,,41.68611,-73.89444
Fighting Island,,42.21679,-83.11655
Forks of the Road,,36.01201,-89.15896
Fort Cumberland,,39.65056,-78.76583
Fort Edward,,43.26702,-73.58456
Fort Erie,,42.90012,-78.93286
Fort Hamilton,,40.61872,-74.0332
Fort Harmer,,39.40972,-81.45833
Fort Hunter,,42.74313,-73.94262
Fort Laurena,,40.63978,-81.45762
Fort Laurens,,40.63978,-81.45762
Fort Ligonier,,40.24063,-79.23725
Fort Littleton,,40.06286,-77.96361
Fort Loudoun,,39.91481,-77.90472
Fort McIntosh,,27.51585,-99.52115
Fort Meigs,,41.55172,-83.64021
Fort Ontario,,43.46833,-76.50583
Fort Oswego,,43.46139,-76.51444
Fort Pitt,,53.65018,-109.75154
Fort Plain,,42.93146,-74.62264
Fort Schuyler,,43.10229,-75.21905
Fort Stanwix,,43.21694,-75.45333
Fort Wabash,,38.67727,-87.52863
Fort Wayne,,41.1306,-85.12886
Forty Mile Creek,H,43.20011,-79.54961
Four Brothers,,49.23299,-121.65255
Four Mile Creek,H,39.42506,-84.54356
France,,45.60366,-0.84802
Franckfurth,,40.01384,-75.07859
Frederickstown,,40.30288,-75.52935
Freehold,,42.35925,-74.04986
Freehold,,40.26011,-74.27376
Frenchtown,,41.612,-80.02172
Friedenshutten,,40.73454,-75.61602
Friedensthal,,40.73454,-75.61602
Gallipolis,,38.8098,-82.20237
Ganawacu,,35.68924,-90.64317
Genesee River,H,43.2584,-77.60222
Geneseo,,38.51612,-98.15672
Geneseo,,42.7959,-77.81695
Genessie River,H,43.2584,-77.60222
Geneva,,42.86896,-76.97774
Georgetown,,47.49989,-53.21478
Georgetown,,40.64145,-80.49784
Georgia,,32.75042,-83.50018
Germantown,,39.76927,-77.14804
Germantown,,45.66819,-64.81549
Gigeijunk,,39.02116,-86.26165
Gigeyunk,,41.1306,-85.12886
Glass House,,37.2207,-76.78524
Gnadenfroi,,48.71312,11.17083
Gnadenhutten,,40.3584,-81.43428
Goshen,,41.40204,-74.32432
Gothenburg,,57.70066,11.94737
Grace Half,,41.18371,-73.86541
Graceham,,39.61427,-77.38165
Grand River,H,41.76032,-81.28066
Grand River,H,42.85011,-79.56631
Granville,,40.06812,-82.5196
Great Beaver Creek,H,54.44988,-123.66985
Great Creek,H,34.78822,-76.48631
Great Island,,41.14007,-77.40692
Great Island,,47.23879,-52.77995
Great Lakes,,42.30919,-87.85007
Great Miami,,39.10867,-84.81439
Great Miami River,H,39.10867,-84.81439
Green Bay,H,45.02971,-87.46094
Greenland,,72.0,-40.0
Greensburg,,40.30146,-79.53893
Greentown,,40.25146,-80.76842
Greenville,,40.10283,-84.63301
Greenwich,,41.02649,-73.62846
Greenwich,,43.09063,-73.49873
Guernsey County,,40.05205,-81.49426
Gulf of Lawrence,H,49.00003,-58.99849
Hagerstown,,39.64176,-77.71999
Hamilton,,39.3995,-84.56134
Hannastown,,40.35368,-79.49671
Harrisburg,,40.2737,-76.88442
Harrison's Ferry,,40.2737,-76.88442
Hartford,,41.76371,-72.68509
Havanna,,35.3673,-88.10031
Hebron,,40.33898,-76.3994
Heidelberg,,40.36093,-76.13161
Herrnbaag,,49.7043,12.25063
Herrnhut,,51.01624,14.74381
Hickory Tavern,,40.74649,-74.4321
Hocking River,H,39.18424,-81.7543
Hokendaugua Creek,H,40.67676,-75.48991
Holland,,48.9168,-65.41542
Holsbon River,H,35.95925,-83.85018
Hope,,40.91121,-74.96739
Hope,,5.91667,-56.41667
Hopedale,,55.46737,-60.20319
Horn River,H,61.50026,-118.01951
Horseshoe Fall,,43.07732,-79.07501
Housatonic River,H,41.16926,-73.10844
Hudson,,41.24006,-81.44067
Hudson,,45.45008,-74.14922
Hudson Bay,H,44.68342,-76.28269
Hudson River,H,40.69677,-74.0282
Humber River,H,43.63342,-79.4663
Hurley,,41.92454,-74.06125
Huron River,H,46.90992,-88.03679
Huron River,H,41.3981,-82.54906
Huron River Macomb County,H,46.90992,-88.03679
Hutberg,,52.05,14.65
Illinois,,40.00032,-89.25037
Illinois River,H,35.48926,-95.09774
Industry,,41.07728,-81.19427
Islington,,47.76659,-53.48139
Jamaica,,18.16667,-77.25
Jefferson County,,40.38502,-80.76097
Jena,,50.92878,11.5899
Jenky Hall,,38.14955,-80.99482
Johnson's Harbor,,39.68529,-93.92688
Jongquakamik Landing,,46.89837,-84.37823
Jongquakamik River,H,45.2668,-75.69935
Juniata Crossings,,39.99453,-78.26862
Juniata River,H,40.40092,-77.01359
Kanawha River,H,38.83786,-82.14264
Ke-kek-ton long timber,,33.06819,-93.18517
Kent,,41.72482,-73.47707
Kentucky,,38.20042,-84.87762
Kinderhook,,42.39536,-73.6979
King's Island,,42.12532,-83.15826
Kingston,,44.22976,-76.48098
Kingston New York,,41.82787,-73.96514
Kitigan,,49.38444,-82.29889
Kittannuk,,40.81645,-79.52199
Kittatinny Hills,T,40.02481,-77.83833
Konigsfeld,,51.06667,12.75
Ktukquiminschi,,41.61424,-76.11743
Kui-lu-ta-men,,42.91679,-81.41646
Labrador,,47.09778,-77.5275
Lac,,43.31404,-74.71794
Lackawanna River,H,41.34147,-75.79269
Lake,,44.71683,-77.74949
Lake Erie,,42.2501,-80.99973
Lake George,,43.60192,-73.57946
Lake Huron,,44.64083,-81.76806
Lake Michigan,,44.00778,-86.75698
Lake Ontario,,43.75012,-77.99951
Lake St. Clair,,45.41681,-79.06631
Lake Superior,,48.33222,-87.09861
Lancaster,,40.03788,-76.30551
Lancaster,,39.71368,-82.59933
Lancaster County,,40.04244,-76.2477
Laramie Creek,H,40.18894,-84.24217
Laurel Hill,T,40.69093,-75.53713
Leek Island,,45.2168,-80.13298
Lees Creek,H,39.33729,-83.49131
Leh-cha-week,,42.91679,-81.41646
Leh-cha-wi-tank,,42.91679,-81.41646
Leh-oha-wa-hen-neek,,42.91679,-81.41646
Lehigh River,H,40.68899,-75.20434
Leipzig,,51.33962,12.37129
