monastery,location,wikidata_entry
Augustinereremitenkloster Speyer,Point(8.43366 49.3195),http://www.wikidata.org/entity/Q22825
Augustinerchorfrauenstift Stuben,Point(7.12259 50.1044),http://www.wikidata.org/entity/Q151467
"Augustinerchorherrenstift St. Zeno, Reichenhall",Point(12.8885 47.7315),http://www.wikidata.org/entity/Q671218
Augustiner-Chorfrauen-Stift (Mannheim),Point(8.46396 49.4847),http://www.wikidata.org/entity/Q768338
Augustinerkloster Würzburg,Point(9.93188 49.7964),http://www.wikidata.org/entity/Q768539
"Augustinerchorherrenstift Pfaffen-Schwabenheim (zunächst Benediktinerinnen, kurzfristig Jesuiten)",Point(7.95343 49.8498),http://www.wikidata.org/entity/Q768392
Augustinerkloster Nürnberg,Point(11.0753 49.4542),http://www.wikidata.org/entity/Q768527
Augustinerkloster Regensburg,Point(12.0953 49.0177),http://www.wikidata.org/entity/Q768532
Augustinerinnenkloster Würzburg,Point(9.93098 49.7962),http://www.wikidata.org/entity/Q768445
Augustinereremitenkloster Anklam,Point(13.6903 53.8579),http://www.wikidata.org/entity/Q768489
"Augustinerinnenkloster Glindfeld, vorher Küstelberg",Point(8.66369 51.1999),http://www.wikidata.org/entity/Q768432
"Augustinerkloster St. Annen, Eisleben",Point(11.5368 51.5286),http://www.wikidata.org/entity/Q768540
Augustinereremitenkloster Dresden,Point(13.743 51.0571),http://www.wikidata.org/entity/Q768499
Augustinerkloster Lauingen,Point(10.4299 48.5718),http://www.wikidata.org/entity/Q768524
Augustinerinnenkloster Memmingen,Point(10.182590303 47.983624441),http://www.wikidata.org/entity/Q768442
Augustinerkloster Fährbrück,Point(10.044958748 49.91784983),http://www.wikidata.org/entity/Q768513
"Augustinerchorherrenstift St. Nikolaus (St. Nikola), Passau",Point(13.45680784 48.570467688),http://www.wikidata.org/entity/Q768419
Augustinerkloster Königsberg,Point(10.5682 50.084),http://www.wikidata.org/entity/Q768516
"Augustinereremitenkloster St. Johannes Baptist, Memmingen",Point(10.1807 47.9866),http://www.wikidata.org/entity/Q768522
Augustinerkloster Mindelheim,Point(10.4856 48.0458),http://www.wikidata.org/entity/Q768529
Augustinereremitenkloster Einbeck,Point(9.86972 51.8181),http://www.wikidata.org/entity/Q768393
Augustinerinnenkloster Küstelberg,Point(8.60476 51.2227),http://www.wikidata.org/entity/Q768436
"Augustinerchorherrenstift St. Nikolaus (St. Nikola), Passau",Point(13.457233333 48.570783333),http://www.wikidata.org/entity/Q768419
Augustinerkloster Fährbrück,Point(10.045077777 49.917872222),http://www.wikidata.org/entity/Q768513
Augustinerkloster,Point(9.79518 48.7988),http://www.wikidata.org/entity/Q768504
Augustinerinnenkloster Fritzlar,Point(9.273 51.1297),http://www.wikidata.org/entity/Q768427
Augustinerchorherrenstift Dietramszell,Point(11.596086364 47.849592432),http://www.wikidata.org/entity/Q1775161
Augustinerchorherrenstift Dießen,Point(11.0972 47.9481),http://www.wikidata.org/entity/Q1775164
Augustinerinnenkloster Höchst (Odenwald),Point(8.99375 49.8004),http://www.wikidata.org/entity/Q1775372
Augustinerchorherrenstift Indersdorf,Point(11.3835 48.3571),http://www.wikidata.org/entity/Q1775387
"Karmelitenkloster Ingelheimerhausen (Hausen), zuvor Augustinerdoppelstift, Augustinerchorfrauenstift",Point(8.11028 49.9625),http://www.wikidata.org/entity/Q1775390
Augustinerchorfrauenstift Immichenhain,Point(9.3496 50.8114),http://www.wikidata.org/entity/Q1775386
"Prämonstratenserinnenstift Hopels, später Augustinerchorherren",Point(7.79646 53.4139),http://www.wikidata.org/entity/Q1775366
"Zisterzienserinnenkloster, später Augustinerchorherrenstift Kirschgarten, Worms",Point(8.35991 49.6317),http://www.wikidata.org/entity/Q1775418
"Augustinerchorfrauenstift Barsinghausen, zuvor Doppelstift",Point(9.46106 52.3007),http://www.wikidata.org/entity/Q1763782
Augustinerchorherrenstift Ewig,Point(7.88236 51.116),http://www.wikidata.org/entity/Q1775208
"Augustinerchorherrenstift Marienwolde, genannt Frenswegen",Point(7.03909 52.4546),http://www.wikidata.org/entity/Q1775241
Augustinerchorherrenstift Rohr,Point(11.966944444 48.768888888),http://www.wikidata.org/entity/Q881499
Augustinerchorherrenstift Heidenfeld,Point(10.201509933 49.964983782),http://www.wikidata.org/entity/Q881040
Augustinerchorherrenstift Rottenbuch,Point(10.966956702 47.734887976),http://www.wikidata.org/entity/Q881161
Augustinerchorherrenstift Heidenfeld,Point(10.201441666 49.96495),http://www.wikidata.org/entity/Q881040
"Augustinerinnen-, später Dominikanerinnenkloster Dykhusen",Point(7.11159 53.4622),http://www.wikidata.org/entity/Q1775178
Augustinerchorfrauenstift Dorstadt,Point(10.5657 52.0983),http://www.wikidata.org/entity/Q1775173
Augustinerchorfrauenstift Marienwerder,Point(9.628277777 52.40625),http://www.wikidata.org/entity/Q1775639
Augustinerchorfrauenstift Marienstein,Point(11.162988888 48.893030555),http://www.wikidata.org/entity/Q1775634
Augustinerchorfrauenstift Marienstein,Point(11.163030641 48.893437129),http://www.wikidata.org/entity/Q1775634
Augustinerchorfrauenstift Abenberg (auch Kloster Marienburg/Marienberg),Point(10.9653 49.235),http://www.wikidata.org/entity/Q1775604
Augustinerchorherrenstift Beuron,Point(8.969333333 48.050722222),http://www.wikidata.org/entity/Q450038
Augustinerchorherrenstift Birklingen,Point(10.34497 49.7104),http://www.wikidata.org/entity/Q1670365
Augustinerchorfrauenstift Diesdorf,Point(10.8767 52.7526),http://www.wikidata.org/entity/Q1670430
Augustinerchorherrenstift Gars (zuvor Benediktinerkloster),Point(12.2763 48.1565),http://www.wikidata.org/entity/Q1775249
Augustinereremitinnenkloster Niederviehbach,Point(12.381 48.616),http://www.wikidata.org/entity/Q1775722
"Augustinerchorherren- und -chorfrauenstift, Ravengiersburg",Point(7.47683 49.9357),http://www.wikidata.org/entity/Q1775838
Augustinerchorherrenstift Petersberg (früher Lauterberg),Point(11.9536 51.5965),http://www.wikidata.org/entity/Q1775791
Augustinerchorherrenstift Rebdorf,Point(11.167476561 48.888164669),http://www.wikidata.org/entity/Q1775841
"Augustinerchorherrenstift Neuwerk, Halle",Point(11.9589 51.4892),http://www.wikidata.org/entity/Q1775713
Augustinerchorfrauenstift Pillenreuth,Point(11.0781 49.3792),http://www.wikidata.org/entity/Q1775797
Kloster der Augustinerterziarinnen,Point(10.5692 50.0817),http://www.wikidata.org/entity/Q1561277
"Zisterzienserinnenkloster Abbenrode, zuvor Augustinerchorherrenstift",Point(10.6272 51.9303),http://www.wikidata.org/entity/Q1558997
"Augustinerchorfrauenstift Marienberg, Helmstedt",Point(11.0005 52.2299),http://www.wikidata.org/entity/Q1775593
Augustinerchorherrenstift Beyharting,Point(11.9907 47.9241),http://www.wikidata.org/entity/Q1775028
