monastery,location,wikidata_entry
Benediktinerkloster Heidenheim,Point(10.7427 49.0177),http://www.wikidata.org/entity/Q721812
Benediktinerkloster Ottobeuren,Point(10.2981 47.9414),http://www.wikidata.org/entity/Q702001
Benediktinerkloster Heidenheim,Point(10.742865989 49.01751401),http://www.wikidata.org/entity/Q721812
Benediktinerkloster Kornelimünster,Point(6.178056 50.728611),http://www.wikidata.org/entity/Q152432
Benediktinerabtei St. Maximin vor Trier,Point(6.65176 49.7597),http://www.wikidata.org/entity/Q118786
Benediktinerkloster Frauenzell,Point(12.3706 49.0557),http://www.wikidata.org/entity/Q610507
"Benediktinerkloster St. Salvator, Fulda",Point(9.67175 50.554027777),http://www.wikidata.org/entity/Q661240
Benediktinerinnen-Abtei Steinfeld,Point(6.56349 50.5022),http://www.wikidata.org/entity/Q817044
"Kanonissenstift Herzebrock, später Benediktinerinnenkloster",Point(8.24535 51.885),http://www.wikidata.org/entity/Q817048
Benediktinerkloster Schweinfurt,Point(10.2572 50.0583),http://www.wikidata.org/entity/Q817053
"Augustinerchorherrenstift Pfaffen-Schwabenheim (zunächst Benediktinerinnen, kurzfristig Jesuiten)",Point(7.95343 49.8498),http://www.wikidata.org/entity/Q768392
Benediktinerinnenkloster Spandau,Point(13.199596 52.533613),http://www.wikidata.org/entity/Q817051
Benediktinerkloster Saalfeld,Point(11.3585 50.6524),http://www.wikidata.org/entity/Q817038
"Benediktinerinnenkloster Dobbertin, zuvor Benediktiner",Point(12.0775 53.615),http://www.wikidata.org/entity/Q823818
Benediktinerinnenkloster Neuburg an der Donau,Point(11.1757 48.7359),http://www.wikidata.org/entity/Q817047
Benediktinerkloster Belecke,Point(8.33944 51.4836),http://www.wikidata.org/entity/Q817062
"Benediktinerinnenkloster Zu den Heiligen Machabäern, Köln",Point(6.95695 50.9471),http://www.wikidata.org/entity/Q817054
"Benediktinerinnenkloster St. Maria, Fulda",Point(9.6773 50.553),http://www.wikidata.org/entity/Q817050
"Benediktinerinnenkloster St. Nikolaus, Augsburg",Point(10.893649 48.319591),http://www.wikidata.org/entity/Q817049
"Benediktinerabtei St. Martin, Wiblingen",Point(9.992 48.3617),http://www.wikidata.org/entity/Q181304
Benediktinerkloster Attel,Point(12.1754656 48.023412169),http://www.wikidata.org/entity/Q204075
"Benediktinerkloster St. Peter und Paul, Coburg",Point(10.9668 50.2572),http://www.wikidata.org/entity/Q1775953
Benediktinerkloster St. Veit,Point(12.5172 48.3587),http://www.wikidata.org/entity/Q1775958
Benediktinerkloster Ettal,Point(11.094658627 47.569577059),http://www.wikidata.org/entity/Q253359
"Benediktinerkloster, dann Augustinerchorherrenstift Schlehdorf",Point(11.3181 47.6578),http://www.wikidata.org/entity/Q280517
"Kanonissenstift Lamspringe, später Benediktinerinnen, dann Benediktiner Lamspringe",Point(10.0161 51.9634),http://www.wikidata.org/entity/Q291248
Benediktinerabtei Andechs,Point(11.182454806 47.974659939),http://www.wikidata.org/entity/Q259971
"Benediktinerkloster Konradsburg, Ermsleben (später Kartäuser)",Point(11.347305555 51.714333333),http://www.wikidata.org/entity/Q278094
Benediktinerkloster Weltenburg,Point(11.819722222 48.898888888),http://www.wikidata.org/entity/Q260108
Benediktinerkloster Thierhaupten,Point(10.911492827 48.562228786),http://www.wikidata.org/entity/Q290566
Benediktinerkloster Thierhaupten,Point(10.911369444 48.561497222),http://www.wikidata.org/entity/Q290566
Benediktinerabtei Hirsau,Point(8.7321 48.7378),http://www.wikidata.org/entity/Q532415
"Benediktinerkloster Michelsberg, Bamberg",Point(10.877222222 49.893611111),http://www.wikidata.org/entity/Q555168
"Benediktinerinnenkloster Rupertsberg, Bingen",Point(7.8892 49.9658),http://www.wikidata.org/entity/Q557972
Benediktinerabtei Grafschaft,Point(8.3241 51.1444),http://www.wikidata.org/entity/Q543879
Benediktinerabtei St. Blasien,Point(8.13 47.76),http://www.wikidata.org/entity/Q532367
"Benediktinerkloster Benediktbeuern, zeitweise Doppelkloster",Point(11.399005363 47.707774256),http://www.wikidata.org/entity/Q533082
Benediktinerabtei Zwiefalten,Point(9.46135 48.232),http://www.wikidata.org/entity/Q460308
Benediktinerkloster Kastl,Point(11.6833 49.3692),http://www.wikidata.org/entity/Q511312
"Kollegiatstift St. Ulrich und Afra, Augsburg, später Benediktiner",Point(10.9004 48.3614),http://www.wikidata.org/entity/Q458378
Benediktinerkloster Irsee,Point(10.574434776 47.910435022),http://www.wikidata.org/entity/Q461372
Benediktinerkloster Gröningen,Point(11.1969 51.9372),http://www.wikidata.org/entity/Q1231913
"Zisterzienserinnen-, später Benediktinerinnenkloster St. Georg, Leipzig",Point(12.3702 51.3348),http://www.wikidata.org/entity/Q1233754
"Zisterzienserkloster St. Maria und St. Disibod Disibodenberg, Odernheim, zuvor Benediktiner(doppel)kloster, Kollegiatstift",Point(7.70119 49.7766),http://www.wikidata.org/entity/Q565067
Benediktinerkloster Großcomburg (später Kollegiatstift),Point(9.749722 49.100278),http://www.wikidata.org/entity/Q561890
Benediktinerabtei Schuttern,Point(7.8525 48.381944),http://www.wikidata.org/entity/Q315198
Benediktinerkloster Elchingen,Point(10.0881 48.4524),http://www.wikidata.org/entity/Q315382
Reichsabtei Hersfeld (Benediktiner),Point(9.70224 50.86627),http://www.wikidata.org/entity/Q314666
Benediktinerabtei Amorbach,Point(9.219725939 49.643387806),http://www.wikidata.org/entity/Q315332
Benediktinerabtei Amorbach,Point(9.220113888 49.642886111),http://www.wikidata.org/entity/Q315332
"Benediktinerkloster Abdinghof, Paderborn",Point(8.75278 51.7186),http://www.wikidata.org/entity/Q308201
Benediktinerinnenkloster Rühn,Point(11.9378 53.824),http://www.wikidata.org/entity/Q1775877
Benediktinerkloster Sandau (bei Landsberg am Lech),Point(10.8814 48.065),http://www.wikidata.org/entity/Q1775939
Benediktinerinnenkloster Rotaha (Ober-Roden),Point(8.82727 49.9785),http://www.wikidata.org/entity/Q1775870
"Benediktinerkloster St. Maria ad Martyres, Trier",Point(6.64722 49.7697),http://www.wikidata.org/entity/Q1776104
