brewery,geometry,foundingYear,wikidata-entry
Hirschbräu Hirschlanden,Point(9.499771353 49.474357052),2008,http://www.wikidata.org/entity/Q110938170
Brauerei Bub,Point(11.30893 49.44988),1617,http://www.wikidata.org/entity/Q110572234
Brauerei Torgau,Point(12.98795 51.56027),1865,http://www.wikidata.org/entity/Q113506218
Brauerei C. Franz,Point(8.209689 48.857166),1842,http://www.wikidata.org/entity/Q102426918
Brauerei Spall,Point(9.551171 49.400095),1883,http://www.wikidata.org/entity/Q108096533
Zeltbräu,Point(11.914148 50.325945),1850,http://www.wikidata.org/entity/Q114616947
Brauerei Falter,Point(11.8953441 50.3367852),1734,http://www.wikidata.org/entity/Q116294458
Brauerei Zoller-Hof,Point(9.206169444 48.091344444),1845,http://www.wikidata.org/entity/Q112572001
Bürgerbräu Hof,Point(11.9346324 50.3117515),1864,http://www.wikidata.org/entity/Q114683226
Holsten-Brauerei Kiel,Point(10.132333333 54.338944444),1924,http://www.wikidata.org/entity/Q55738317
Brauerei Zur Eiche (Kiel),Point(10.125472222 54.320083333),1871,http://www.wikidata.org/entity/Q63102380
Hasseröder Brauerei,Point(10.754444444 51.844444444),1872,http://www.wikidata.org/entity/Q20871058
Felsenkeller,Point(8.6696 49.87893),1882,http://www.wikidata.org/entity/Q26772520
Schultheiss-Brauerei,Point(13.343725 52.527849),1871,http://www.wikidata.org/entity/Q61453595
Schultheiß-Patzenhofer-Brauerei,Point(13.21124 52.54677),1928,http://www.wikidata.org/entity/Q63283971
Untere Dorfstraße 34,Point(14.741553 50.944381),1791,http://www.wikidata.org/entity/Q49413694
Brauhaus Sankt Andreasberg,Point(10.51605 51.70872),1553,http://www.wikidata.org/entity/Q43397228
Berliner-Kindl-Brauerei am Brauhausberg,Point(13.06611111 52.38916667),1884,http://www.wikidata.org/entity/Q22944927
Stadtbrauerei Wittichenau; Brauerei mit Schornstein Haschkestraße 33,Point(14.245089 51.38373),1900,http://www.wikidata.org/entity/Q49403869
Herbsthäuser Brauerei,Point(9.82985 49.40431),1581,http://www.wikidata.org/entity/Q76282626
Brauerei Zoller-Hof,Point(9.206169444 48.091344444),1845,http://www.wikidata.org/entity/Q42306250
Brauerei Klotzbücher,Point(9.76845 49.49043),1791,http://www.wikidata.org/entity/Q75976890
Brauerei Krostitz,Point(12.451042128 51.463964336),1900,http://www.wikidata.org/entity/Q49444971
Altes Schloss Hainewalde,Point(14.70917 50.91544),1564,http://www.wikidata.org/entity/Q91240662
Groterjan-Brauerei Prinzenallee,Point(13.382868217 52.554562089),1929,http://www.wikidata.org/entity/Q32662271
Pyraser Brauerei,Point(11.21728337 49.14918124),1870,http://www.wikidata.org/entity/Q20182556
Post Brauerei Weiler,Point(9.914444 47.584389),1650,http://www.wikidata.org/entity/Q17325739
Union-Brauerei,Point(8.79304 53.10098),1907,http://www.wikidata.org/entity/Q19310587
Privatbrauerei Hofmühl,Point(11.168055555 48.893611111),1492,http://www.wikidata.org/entity/Q17053398
Colbitzer Heide-Brauerei,Point(11.610535 52.316675),1872,http://www.wikidata.org/entity/Q16830904
Lindener Aktien-Brauerei,Point(9.71523 52.37007),1871,http://www.wikidata.org/entity/Q1826073
Brauerei Gebrüder Jäcklein,Point(10.923333 50.694167),1897,http://www.wikidata.org/entity/Q900202
Löwenbrauerei (Berlin),Point(13.4967 52.5475),1892,http://www.wikidata.org/entity/Q1879897
Schönbuch Braumanufaktur,Point(9.016926884 48.685021514),1823,http://www.wikidata.org/entity/Q2258867
Privatbrauerei Gaffel Becker & Co,Point(6.956388888 50.946388888),1908,http://www.wikidata.org/entity/Q151607
Heidelberger Brauerei,Point(8.64 49.405),1753,http://www.wikidata.org/entity/Q10294254
LWL-Freilichtmuseum Hagen,Point(7.477222222 51.334722222),1960,http://www.wikidata.org/entity/Q896042
Brauerei Keesmann,Point(10.9056 49.8904),1876,http://www.wikidata.org/entity/Q900266
Aktien-Brauerei-Gesellschaft Friedrichshöhe,Point(13.443625 52.524796),1856,http://www.wikidata.org/entity/Q422019
Private Weißbierbrauerei G. Schneider & Sohn,Point(11.874444444 48.917222222),1872,http://www.wikidata.org/entity/Q2111113
Westfalen Culinarium,Point(9.11077 51.8041),2006,http://www.wikidata.org/entity/Q2565108
Cölner Hofbräu,Point(6.957222222 50.939722222),1904,http://www.wikidata.org/entity/Q153852
Memminger Brauerei,Point(10.168061 47.996685),1886,http://www.wikidata.org/entity/Q1920014
Dortmunder Ritter-Brauerei,Point(7.32861 51.4936),1889,http://www.wikidata.org/entity/Q1250787
Holsten-Brauerei,Point(9.943055555 53.561944444),1879,http://www.wikidata.org/entity/Q460206
Bayerisches Brauerei- und Bäckereimuseum,Point(11.468327 50.114671),1994,http://www.wikidata.org/entity/Q812397
Markus Wasmeier Bauernhof- und Wintersportmuseum,Point(11.8783 47.7075),2007,http://www.wikidata.org/entity/Q266565
Bayerische Staatsbrauerei Weihenstephan,Point(11.729166666 48.396111111),1040,http://www.wikidata.org/entity/Q812294
Klosterbräu Bamberg,Point(10.887 49.8892),1533,http://www.wikidata.org/entity/Q1649984
Zwiefalter Klosterbräu,Point(9.460669444 48.230958333),1521,http://www.wikidata.org/entity/Q244637
Felsenkeller (Dresden),Point(13.70139 51.02278),1856,http://www.wikidata.org/entity/Q1404247
Dortmunder Gildenbrauerei,Point(7.45717 51.5006),1874,http://www.wikidata.org/entity/Q1250750
Karlsburg-Brauerei,Point(8.58296 53.5402),1891,http://www.wikidata.org/entity/Q1277801
Brauerei Beck,Point(8.7925 53.076666666),1873,http://www.wikidata.org/entity/Q106854
Kloster Kreuzberg,Point(9.9754 50.3707),1692,http://www.wikidata.org/entity/Q1775437
Schloss Söldenau,Point(13.21523056 48.56035833),1320,http://www.wikidata.org/entity/Q2243672
Brauerei Bosch,Point(8.409161111 50.927930555),1705,http://www.wikidata.org/entity/Q900128
Edelweißbrauerei Farny,Point(9.879252777 47.729902777),1833,http://www.wikidata.org/entity/Q1283441
Müser-Brauerei,Point(7.32415 51.471613888),1866,http://www.wikidata.org/entity/Q1109975
Sudhaus der Berliner Kindl-Brauerei,Point(13.4308 52.4794),1926,http://www.wikidata.org/entity/Q2363268
Sudhaus der Berliner Kindl-Brauerei,Point(13.4308 52.4794),2014,http://www.wikidata.org/entity/Q2363268
Waldwirtschaft,Point(11.539716079 48.066960199),1900,http://www.wikidata.org/entity/Q2542026
Maisel-Bräu,Point(10.913 49.8929),1894,http://www.wikidata.org/entity/Q6736986
Brauhaus Döbler,Point(10.415995993 49.501918405),1867,http://www.wikidata.org/entity/Q900481
Brauerei Paqué,Point(7.16916667 49.47208333),1836,http://www.wikidata.org/entity/Q14906472
Brauerei Hellein,Point(10.702 49.2042),1717,http://www.wikidata.org/entity/Q900236
Caspary-Brauerei,Point(6.639283 49.743008),1826,http://www.wikidata.org/entity/Q1048121
Obermühle (Görlitz),Point(14.994265 51.143925),1750,http://www.wikidata.org/entity/Q2010460
Einbecker Brauhaus,Point(9.863333333 51.815833333),1378,http://www.wikidata.org/entity/Q323095
Einbecker Brauhaus,Point(9.863333333 51.815833333),1967,http://www.wikidata.org/entity/Q323095
Benediktinerkloster Scheyern,Point(11.453130928 48.5023203),1101,http://www.wikidata.org/entity/Q881489
Dithmarscher Privatbrauerei,Point(9.01284 53.95433),1884,http://www.wikidata.org/entity/Q900263
Privatbrauerei Ernst Barre,Point(8.618888888 52.295),1842,http://www.wikidata.org/entity/Q2111045
Ballhaus Watzke,Point(13.7157 51.0775),1898,http://www.wikidata.org/entity/Q805254
Elbschloss-Brauerei,Point(9.854627 53.549394),1881,http://www.wikidata.org/entity/Q1232781
Brauerei Kaiserdom,Point(10.852222222 49.904166666),1718,http://www.wikidata.org/entity/Q900257
Brauerei zur Malzmühle,Point(6.96068 50.9347),1858,http://www.wikidata.org/entity/Q900427
Binding-Brauerei,Point(8.691063 50.094685),1870,http://www.wikidata.org/entity/Q863650
Kieler Actien-Brauerei,Point(10.1216 54.3122),1871,http://www.wikidata.org/entity/Q1740959
Quellen-Brauerei,Point(7.53144 51.488),1817,http://www.wikidata.org/entity/Q14541100
Benediktinerkloster Weltenburg,Point(11.819722222 48.898888888),601,http://www.wikidata.org/entity/Q260108
Waldschlößchen-Brauerei,Point(13.778136111 51.067911111),1868,http://www.wikidata.org/entity/Q2541853
Palmbräu,Point(8.90857 49.137992),1847,http://www.wikidata.org/entity/Q2048171
Malzfabrik Michael Weyermann,Point(10.895740923 49.904728839),1879,http://www.wikidata.org/entity/Q1887996
Kloster Eldena,Point(13.452219444 54.0892),1101,http://www.wikidata.org/entity/Q455794
Kitzmann-Bräu,Point(11.00818256 49.595107078),1712,http://www.wikidata.org/entity/Q1743963
Schlegel-Scharpenseel-Brauerei,Point(7.21167 51.4808),1854,http://www.wikidata.org/entity/Q2238648
Brauerei Greifenklau,Point(10.8822 49.8836),1719,http://www.wikidata.org/entity/Q900219
Brauerei Ganter,Point(7.860277777 47.990277777),1865,http://www.wikidata.org/entity/Q323969
Burg Trausnitz,Point(12.152121628 48.531675138),1204,http://www.wikidata.org/entity/Q512271
Brauerei Clemens Härle,Point(10.024167 47.823611),1897,http://www.wikidata.org/entity/Q900156
Brauerei Zassenhaus,Point(7.098122 51.338508),1853,http://www.wikidata.org/entity/Q900413
Benediktinerabtei Neuburg,Point(8.74083 49.4189),1101,http://www.wikidata.org/entity/Q334066
Schöneberger Schlossbrauerei,Point(13.3523 52.4816),1867,http://www.wikidata.org/entity/Q2259010
Schöneberger Schlossbrauerei,Point(13.3523 52.4816),1871,http://www.wikidata.org/entity/Q2259010
Einsiedler Brauhaus,Point(12.974747 50.765237),1885,http://www.wikidata.org/entity/Q1309106
Brauerei Carl Bremme,Point(7.20952 51.2684),1842,http://www.wikidata.org/entity/Q900144
Privatbrauerei Eichbaum,Point(8.489813888 49.495791666),1679,http://www.wikidata.org/entity/Q877628
Kronen Privatbrauerei Dortmund,Point(7.47778 51.5031),1430,http://www.wikidata.org/entity/Q1268688
Distelhäuser Brauerei,Point(9.693397 49.598953),1811,http://www.wikidata.org/entity/Q1229442
Brauerei Max Leibinger,Point(9.621844444 47.781452777),1894,http://www.wikidata.org/entity/Q900320
Brauerei zum Schlüssel,Point(6.77464 51.22611),1850,http://www.wikidata.org/entity/Q900425
Braumanufaktur Härke,Point(10.2311 52.3208),1890,http://www.wikidata.org/entity/Q2111040
Dinkelacker,Point(9.170555555 48.768055555),1888,http://www.wikidata.org/entity/Q879110
Kloster Wöltingerode,Point(10.5394 51.9597),1174,http://www.wikidata.org/entity/Q1776289
Maierbräu,Point(11.256 48.3875),1830,http://www.wikidata.org/entity/Q15792923
Zukunft am Ostkreuz,Point(13.46583333 52.50166667),2011,http://www.wikidata.org/entity/Q15855822
Dom-Brauerei,Point(7.029541 50.905188),1894,http://www.wikidata.org/entity/Q1236487
Berg Brauerei,Point(9.735277777 48.2625),1466,http://www.wikidata.org/entity/Q819284
Meckatzer Löwenbräu,Point(9.889722 47.631389),1738,http://www.wikidata.org/entity/Q1788338
Weißbierbrauerei Willner,Point(13.415644 52.555833),1882,http://www.wikidata.org/entity/Q1246395
Herzoglich Bayerisches Brauhaus Tegernsee,Point(11.756666666 47.708333333),1050,http://www.wikidata.org/entity/Q1615321
Brauerei Gebrüder Maisel,Point(11.566666666 49.946388888),1887,http://www.wikidata.org/entity/Q900204
Dortmunder Stifts-Brauerei,Point(7.50389 51.4897),1867,http://www.wikidata.org/entity/Q1250802
Glückauf-Brauerei AG,Point(7.10725 51.4922),1887,http://www.wikidata.org/entity/Q1532748
Fürstlich Fürstenbergische Brauerei,Point(8.49965 47.95174),1283,http://www.wikidata.org/entity/Q1483584
Allgäuer Brauhaus,Point(10.314222222 47.724166666),1911,http://www.wikidata.org/entity/Q2649044
Bötzow-Brauerei,Point(13.4172 52.5303),1864,http://www.wikidata.org/entity/Q1020177
Schlossbrauerei Neunkirchen,Point(7.179776 49.339369),1838,http://www.wikidata.org/entity/Q1789348
Kloster Kreuzberg,Point(9.976055691 50.370740612),1692,http://www.wikidata.org/entity/Q1775437
Böhmisches Brauhaus,Point(13.437158 52.522182),1868,http://www.wikidata.org/entity/Q1019779
Schäffler Bräu,Point(10.1275 47.5976),1868,http://www.wikidata.org/entity/Q2258318
Unionsbräu,Point(11.600843681 48.135425888),1885,http://www.wikidata.org/entity/Q1354245
Aktienbrauerei Kaufbeuren,Point(10.6175 47.877222222),1308,http://www.wikidata.org/entity/Q422034
Wicküler-Brauerei,Point(7.16528 51.2555),1845,http://www.wikidata.org/entity/Q2567692
Radeberger Exportbierbrauerei,Point(13.914046 51.114869),1872,http://www.wikidata.org/entity/Q568797
Stuttgarter Hofbräu,Point(9.156666666 48.761944444),1872,http://www.wikidata.org/entity/Q2359534
Hofbräuhaus am Platzl,Point(11.579722222 48.137777777),1589,http://www.wikidata.org/entity/Q152971
Dortmunder U,Point(7.45362 51.515),1927,http://www.wikidata.org/entity/Q762922
Benediktinerkloster Weißenohe,Point(11.2533 49.6296),,http://www.wikidata.org/entity/Q1776275
Brauhaus Sion,Point(6.95942 50.9394),,http://www.wikidata.org/entity/Q900504
Magerviehhof Friedrichsfelde,Point(13.525 52.5167),,http://www.wikidata.org/entity/Q1335104
Sturmbrauerei,Point(6.49601 50.796089),,http://www.wikidata.org/entity/Q2359297
