monastery,location,wikidata_entry
Dominikanerkloster Stralsund,Point(13.0876 54.3126),http://www.wikidata.org/entity/Q72482
"Dominikanerinnenkloster Adelhausen, Freiburg",Point(7.851778 47.99293),http://www.wikidata.org/entity/Q1774921
Dominikanerinnenkloster Altenhohenau,Point(12.177451777 48.008164211),http://www.wikidata.org/entity/Q1774943
Dominikanerinnenkloster Mödingen,Point(10.437341842 48.631880486),http://www.wikidata.org/entity/Q1775683
Dominikanerinnenkloster Mödingen,Point(10.436386111 48.631663888),http://www.wikidata.org/entity/Q1775683
"Augustinerinnen-, später Dominikanerinnenkloster Dykhusen",Point(7.11159 53.4622),http://www.wikidata.org/entity/Q1775178
Dominikanerinnenkloster Lambrecht,Point(8.06939 49.3706),http://www.wikidata.org/entity/Q1775479
Dominikanerinnenkloster Frauenaurach,Point(10.9606 49.5675),http://www.wikidata.org/entity/Q1775232
"Dominikanerinnenkloster Galiläa, Meschede",Point(8.26333 51.3583),http://www.wikidata.org/entity/Q1775250
Dominikanerinnenkloster Ennetach,Point(9.32222 48.0528),http://www.wikidata.org/entity/Q1775198
Dominikanerinnenkloster Schwarzhofen,Point(12.343164035 49.377811222),http://www.wikidata.org/entity/Q1776006
Dominikanerinnenkloster Schwarzhofen,Point(12.343888888 49.378055555),http://www.wikidata.org/entity/Q1776006
Dominikanerkloster Norden,Point(7.19923 53.5971),http://www.wikidata.org/entity/Q1775727
Dominikanerinnenkloster Obermedlingen (später Dominikaner),Point(10.3202 48.5683),http://www.wikidata.org/entity/Q1775745
"Dominikanerinnenkloster St. Maria und St. Agnes, Liebenau",Point(8.34813 49.6412),http://www.wikidata.org/entity/Q941693
"Magdalenerinnen-, dann Dominikanerinnenkloster St. Magdalena, Speyer",Point(8.44282 49.32),http://www.wikidata.org/entity/Q1776100
Dominikanerkloster Minden,Point(8.91223 52.2882),http://www.wikidata.org/entity/Q1776111
Dominikanerkloster Brandenburg an der Havel,Point(12.563 52.4063),http://www.wikidata.org/entity/Q1776110
Dominikanerinnenkloster Kirchberg,Point(8.73278 48.3581),http://www.wikidata.org/entity/Q882051
Dominikanerinnenkloster Stetten im Gnadental bei Hechingen,Point(8.97849 48.345),http://www.wikidata.org/entity/Q1776126
Dominikanerkloster Berlin-Cölln,Point(13.4004 52.5172),http://www.wikidata.org/entity/Q1237979
Dominikanerkloster Eichstätt,Point(11.186212 48.893245),http://www.wikidata.org/entity/Q1237984
Dominikanerkloster Nürnberg,Point(11.077792826 49.456490961),http://www.wikidata.org/entity/Q1237992
"Dominikanerinnenkloster Heilig Kreuz, Regensburg",Point(12.0852 49.0201),http://www.wikidata.org/entity/Q1237950
Dominikanerkloster Landshut,Point(12.155833333 48.536944444),http://www.wikidata.org/entity/Q1237986
Dominikanerkloster,Point(8.68778 50.1117),http://www.wikidata.org/entity/Q1237975
Dominikanerkloster Landshut,Point(12.156021256 48.537702198),http://www.wikidata.org/entity/Q1237986
Dominikanerkloster St. Albert (Walberberg),Point(6.90253 50.7969),http://www.wikidata.org/entity/Q1238004
Dominikanerkloster St. Pauli Leipzig,Point(12.379091 51.339023),http://www.wikidata.org/entity/Q1238002
Dominikanerkloster Trier,Point(6.64651389 49.75638889),http://www.wikidata.org/entity/Q1237980
Dominikanerkloster Eichstätt,Point(11.186376129 48.893399619),http://www.wikidata.org/entity/Q1237984
"Dominikanerinnenkloster vom Heiligen Grab, Bamberg",Point(10.8953 49.9009),http://www.wikidata.org/entity/Q1237944
Dominikanerorden in Warburg,Point(9.14849 51.487),http://www.wikidata.org/entity/Q1238010
"Dominikanerinnenkloster St. Ursula, Augsburg",Point(10.903 48.3659),http://www.wikidata.org/entity/Q1237953
Dominikanerkloster Freiburg,Point(7.84868 47.997863),http://www.wikidata.org/entity/Q1237977
Dominikanerkloster Nürnberg,Point(11.077777777 49.455833333),http://www.wikidata.org/entity/Q1237992
Dominikanerkloster Bamberg,Point(10.8849 49.8923),http://www.wikidata.org/entity/Q1237981
Dominikanerkloster St. Albert (Leipzig),Point(12.3204 51.3756),http://www.wikidata.org/entity/Q1238001
Dominikanerkloster Soest,Point(8.10347222 51.575),http://www.wikidata.org/entity/Q1237996
Dominikanerkloster Lübeck (Burgkloster),Point(10.6893 53.8735),http://www.wikidata.org/entity/Q1015115
Ehemaliges Dominikanerkloster (Düsseldorf),Point(6.77824 51.2153),http://www.wikidata.org/entity/Q1299486
Dominikanerkloster Braunschweig,Point(10.525 52.2594),http://www.wikidata.org/entity/Q1326191
Dominikanerinnenkloster Hedingen,Point(9.22361 48.0819),http://www.wikidata.org/entity/Q1775304
Dominikanerkloster Wismar (Schwarzes Kloster),Point(11.4658 53.8891),http://www.wikidata.org/entity/Q2254154
"Dominikanerkloster St. Katharina, Bremen",Point(8.80861 53.0779),http://www.wikidata.org/entity/Q2316350
Dominikanerinnenkloster Löwental,Point(9.49333333 47.66194444),http://www.wikidata.org/entity/Q1493622
Dominikanerinnenkloster Engelthal,Point(11.39886111 49.47173333),http://www.wikidata.org/entity/Q1555600
Dominikanerinnenkloster Nürnberg,Point(11.082130337 49.451990592),http://www.wikidata.org/entity/Q1736108
"Dominikanerinnenkloster St. Katharina, Augsburg",Point(10.8972 48.3647),http://www.wikidata.org/entity/Q1736103
"Dominikanerinnenkloster St. Gertrud, Köln",Point(6.94644 50.9366),http://www.wikidata.org/entity/Q1603689
Dominikanerkloster Greifswald (Schwarzes Kloster),Point(13.375604 54.097953),http://www.wikidata.org/entity/Q15109556
"Dominikanerkloster St. Johannis, Rostock",Point(12.1394 54.0869),http://www.wikidata.org/entity/Q1698953
Dominikanerkloster Plauen,Point(12.13483 50.49117),http://www.wikidata.org/entity/Q28976693
Dominikanerinnenkloster Weida,Point(12.061062 50.775099),http://www.wikidata.org/entity/Q28976714
Dominikanerkloster Wimpfen,Point(9.16073972 49.22840056),http://www.wikidata.org/entity/Q28976710
Dominikanerinnenkloster Itzingen,Point(9.19956065 49.03642767),http://www.wikidata.org/entity/Q28976722
Dominikanerinnenkloster Pforzheim,Point(8.70135649 48.88958266),http://www.wikidata.org/entity/Q28976751
Dominikanerkloster Mergentheim,Point(9.77376 49.489416),http://www.wikidata.org/entity/Q28976775
Dominikanerinnenkloster Biberach,Point(9.7907196 48.09806212),http://www.wikidata.org/entity/Q28976763
