monastery,geometry,year,wikidata_entry
Jesuitenkolleg Ingolstadt,Point(11.4208 48.7653),1575,http://www.wikidata.org/entity/Q834398
Jesuitenkolleg Burghausen,Point(12.834000574 48.160812084),1629,http://www.wikidata.org/entity/Q2734412
Jesuitenkolleg Amberg,Point(11.850344421 49.444634234),1665,http://www.wikidata.org/entity/Q2734411
Jesuitenkolleg Amberg,Point(11.850412 49.44421),1665,http://www.wikidata.org/entity/Q2734411
Jesuitenmission Arnsberg,Point(8.06361 51.3987),1651,http://www.wikidata.org/entity/Q1688338
Jesuitenkolleg Rottweil,Point(8.6288951 48.1672534),1652,http://www.wikidata.org/entity/Q28976974
Jesuitenniederlassung Lippstadt,Point(8.348046 51.676477),1620,http://www.wikidata.org/entity/Q28977901
"Jesuitenmission Germersheim, später Kapuzinermission",Point(8.371 49.2185),1628,http://www.wikidata.org/entity/Q28977916
"Augustinerchorherrenpropstei Dirmstein, später Jesuitenresidenz",Point(8.24601 49.56468),1418,http://www.wikidata.org/entity/Q28977909
Jesuitenniederlassung Bamberg,Point(10.888333 49.893611),1611,http://www.wikidata.org/entity/Q28977986
Jesuitenniederlassung Ebersberg,Point(11.9715 48.0776),1595,http://www.wikidata.org/entity/Q28977992
"Jesuitenniederlassung Coesfeld, später Franziskaner-Observanten",Point(7.168255 51.945196),1627,http://www.wikidata.org/entity/Q28978199
Jesuitenniederlassung Regensburg,Point(12.096667 49.015833),1589,http://www.wikidata.org/entity/Q28978084
Jesuitenniederlassung Aachen,Point(6.082889 50.773526),1600,http://www.wikidata.org/entity/Q28978222
Jesuitenniederlassung Bremen,Point(8.80533 53.07283),1648,http://www.wikidata.org/entity/Q28981204
Jesuitenniederlassung Siegen,Point(8.02509 50.87363),1624,http://www.wikidata.org/entity/Q28982368
Jesuitenniederlassung Paderborn,Point(8.753681 51.716111),1580,http://www.wikidata.org/entity/Q28982099
"Jesuitenresidenz, später Franziskaner-Observantenresidenz Meppen",Point(7.292917 52.690889),1613,http://www.wikidata.org/entity/Q28979957
Jesuitenniederlassung Hameln,Point(9.3545 52.1035),1630,http://www.wikidata.org/entity/Q28981667
Jesuitenniederlassung Düsseldorf,Point(6.775257 51.227422),1619,http://www.wikidata.org/entity/Q28978284
Jesuitenniederlassung Bonn,Point(7.101284 50.73628),1590,http://www.wikidata.org/entity/Q28978253
Jesuitenniederlassung Münstereifel,Point(6.763897 50.553556),1625,http://www.wikidata.org/entity/Q28978321
Jesuitenniederlassung Essen,Point(7.014866 51.455154),1666,http://www.wikidata.org/entity/Q28978303
Jesuitenniederlassung Düren,Point(6.48617 50.80183),1628,http://www.wikidata.org/entity/Q28978277
"Jesuitenniederlassung Haus Geist, Oelde",Point(8.101258 51.836308),1640,http://www.wikidata.org/entity/Q28978346
Jesuitenniederlassung Hannover,Point(9.7375 52.372),1665,http://www.wikidata.org/entity/Q28979562
Jesuitenniederlassung Minden,Point(8.915083 52.29102),1604,http://www.wikidata.org/entity/Q28978925
Jesuitenniederlassung Hildesheim,Point(9.947658 52.148422),1592,http://www.wikidata.org/entity/Q28976572
Jesuitenkolleg Heidelberg,Point(8.7081465 49.41125857),1623,http://www.wikidata.org/entity/Q28976855
Jesuitenkolleg Ettlingen,Point(8.41029561 48.94229047),1661,http://www.wikidata.org/entity/Q28976838
Jesuitenniederlassung Neuburg,Point(8.74004566 49.41952565),1706,http://www.wikidata.org/entity/Q28976874
Jesuitenniederlassung Ottersweier,Point(8.11196341 48.66723518),1641,http://www.wikidata.org/entity/Q28976843
Jesuitenkolleg Konstanz,Point(9.17689355 47.66374178),1592,http://www.wikidata.org/entity/Q28976755
