monastery,location,wikidata_entry
Johanniterkommende Burmönken (Wittmund),Point(7.81438 53.5531),http://www.wikidata.org/entity/Q1751906
Johanniterkommende Boekzetel,Point(7.50639 53.3361),http://www.wikidata.org/entity/Q1351433
Johanniter-Doppelkommende Jemgum,Point(7.38755 53.2645),http://www.wikidata.org/entity/Q979172
Johanniter-Doppelkommende Hasselt,Point(7.64211 53.2856),http://www.wikidata.org/entity/Q1780093
"Johanniter-Doppelkommende Dünebroek, Wymeer",Point(7.19356 53.1317),http://www.wikidata.org/entity/Q1780092
Johanniter-Doppelkommende Heiselhusen,Point(7.02822 53.4093),http://www.wikidata.org/entity/Q1780094
"Johanniterkommende St. Johann Baptist, Heimbach",Point(8.24435 49.2502),httpa://www.wikidata.org/entity/Q1781048
Johanniterkomturei Nemerow,Point(13.2146 53.4899),http://www.wikidata.org/entity/Q1781052
Johanniterkommende Hesel,Point(7.5863 53.3028),http://www.wikidata.org/entity/Q1780098
Johanniterkomturei Kraak,Point(11.3845 53.4474),http://www.wikidata.org/entity/Q1331339
"Johanniterniederlassung Herrenstrunden, Bergisch-Gladbach",Point(7.18062 51.0071),http://www.wikidata.org/entity/Q1887846
Johanniter-Doppelkommende Muhde,Point(7.41889 53.2056),http://www.wikidata.org/entity/Q1478495
Johanniter-Doppelkommende Abbingwehr,Point(7.24473 53.4415),http://www.wikidata.org/entity/Q1725404
Johanniterkommende Burlage,Point(7.57353 53.077),http://www.wikidata.org/entity/Q1567081
Johanniterkommende Schwäbisch Hall,Point(9.73271994 49.1132388),http://www.wikidata.org/entity/Q28976801
Johanniterkommende Krautheim,Point(9.63544682 49.38752296),http://www.wikidata.org/entity/Q28976731
Johanniterkommende Mergentheim,Point(9.77398652 49.49187763),http://www.wikidata.org/entity/Q28976773
Johanniterkommende Affaltrach,Point(9.38335936 49.13596138),http://www.wikidata.org/entity/Q28976728
Johanniterkommende Wölchingen,Point(9.63192035 49.48504514),http://www.wikidata.org/entity/Q28976779
Johanniterkommende Boxberg,Point(9.64021433 49.47972157),http://www.wikidata.org/entity/Q28976778
Johanniterkommende Werben,Point(11.982084 52.859306),http://www.wikidata.org/entity/Q28976614
Johanniterkommende Wietersheim,Point(8.946389 52.341667),http://www.wikidata.org/entity/Q28976506
Johanniterkommende Fallersleben,Point(10.7175 52.41783),http://www.wikidata.org/entity/Q28976593
"Templerkommende Emmerstedt, später Johanniterkommende?",Point(10.960551 52.243772),http://www.wikidata.org/entity/Q28976592
"Kollegiatstift Süpplingenburg, später Templerkomturei, später Johanniterkommende",Point(10.9046573 52.2508026),http://www.wikidata.org/entity/Q28976599
"Johanniterkommende ""zum Heiligen Grab"", Mainz",Point(8.272384 49.997644),http://www.wikidata.org/entity/Q3146016
Johanniterkommende Burgsteinfurt,Point(7.34119 52.1432),http://www.wikidata.org/entity/Q2735612
Johanniterkommende Neuenburg am Rhein,Point(7.55981387 47.81239967),http://www.wikidata.org/entity/Q28976945
Johanniterkommende Niederwildungen,Point(9.21233 51.1235),http://www.wikidata.org/entity/Q1698994
Johanniter-Doppelkommende Langholt,Point(7.59152 53.1138),http://www.wikidata.org/entity/Q1639862
Johanniterkommende Hassel,Point(7.10017 51.55017),http://www.wikidata.org/entity/Q28978351
"Johanniterkommende Walsum, Duisburg",Point(6.706086 51.531066),http://www.wikidata.org/entity/Q28978337
Johanniterkommende Horst,Point(7.458869967 51.638685148),http://www.wikidata.org/entity/Q28978363
Johanniterkommende Herford,Point(8.676565 52.115048),http://www.wikidata.org/entity/Q28978354
Johanniterkommende Lemwerder,Point(8.617 53.15817),http://www.wikidata.org/entity/Q28979743
Johanniterkommende Langewische,Point(8.35733 53.5095),http://www.wikidata.org/entity/Q28979681
"Kommende Klosterholte, Johanniter (?)",Point(7.40967 52.63333),http://www.wikidata.org/entity/Q28979667
Johanniterordenshaus Lenzkirch,Point(8.20474595 47.8686645),http://www.wikidata.org/entity/Q28976937
Johanniterkommende Rexingen,Point(8.64915551 48.43907991),http://www.wikidata.org/entity/Q28976909
Johanniterordenshaus Kenzingen,Point(7.76735192 48.1915107),http://www.wikidata.org/entity/Q28976818
Johanniterkommende Heitersheim,Point(7.67279418 47.87029777),http://www.wikidata.org/entity/Q28976934
Johanniterkommende Rohrdorf,Point(8.6932088 48.56827918),http://www.wikidata.org/entity/Q28976891
Johanniterkommende Neckarelz,Point(9.10297028 49.3416616),http://www.wikidata.org/entity/Q28976878
Johanniterkommende Bruchsal,Point(8.59733429 49.12437243),http://www.wikidata.org/entity/Q28976836
Johanniterkommende Bokelesch,Point(7.664722222 53.162222222),http://www.wikidata.org/entity/Q10994967
Johanniterkommende Wiesenfeld,Point(8.75058 51.0051),http://www.wikidata.org/entity/Q13846429
"Templer-, später Johanniterkommende Lietzen",Point(14.335404 52.483768),http://www.wikidata.org/entity/Q28979452
Johanniterkommende Lage,Point(8.026215 52.49664),http://www.wikidata.org/entity/Q28979244
"Templer-, später Johanniterkommende Lietzen",Point(14.335133 52.483724),http://www.wikidata.org/entity/Q28979452
Johanniterkommende Villingen,Point(8.46178284 48.05836627),http://www.wikidata.org/entity/Q28976992
Johanniterkommende Hemmendorf,Point(8.92037303 48.41838043),http://www.wikidata.org/entity/Q28977078
Johanniterhaus Schwenningen,Point(8.53651034 48.06695664),http://www.wikidata.org/entity/Q28976989
Johanniterniederlassung Aachen,Point(6.079464 50.775482),http://www.wikidata.org/entity/Q28978223
"Johanniterkommende Kronenburg, Dahlem",Point(6.47791 50.36337),http://www.wikidata.org/entity/Q28978320
Johanniterkommende Borken,Point(6.859744 51.843033),http://www.wikidata.org/entity/Q28978186
Johanniterkommende Duisburg,Point(6.77017 51.43667),http://www.wikidata.org/entity/Q28978267
Johanniterkommende Überlingen,Point(9.15946717 47.76868269),http://www.wikidata.org/entity/Q28977184
Johanniterkomturei Gardow,Point(13.192111 53.266307),http://www.wikidata.org/entity/Q28977138
Johanniterhof Jungental bei Starzeln,Point(9.06420379 48.30529323),http://www.wikidata.org/entity/Q28977110
Johanniterkommende Dätzingen,Point(8.88544442 48.71648565),http://www.wikidata.org/entity/Q28977302
Johanniterkommende Rottweil,Point(8.62926202 48.16670599),http://www.wikidata.org/entity/Q28977306
Johanniterkommende Freiburg,Point(7.856528 47.999583),http://www.wikidata.org/entity/Q28051764
Johanniterkommende St. Leonhard,Point(12.08583 49.02148),http://www.wikidata.org/entity/Q28648972
"Johanniterkommende Hl. Grab, Goslar",Point(10.418936 51.90956),http://www.wikidata.org/entity/Q21157942
"Johanniterkommende Velden, Düren",Point(6.47049 50.81148),http://www.wikidata.org/entity/Q21037151
Johanniterkommende Esterwegen,Point(7.632156 52.994058),http://www.wikidata.org/entity/Q28977861
