monastery,geometry,foundingYear,wikidata_entry
Jesuitenkolleg Ingolstadt,Point(11.4208 48.7653),1575,http://www.wikidata.org/entity/Q834398
Kanonissenstift Gandersheim,Point(10.026097222 51.870397222),801,http://www.wikidata.org/entity/Q315067
Zisterzienserabtei Loccum,Point(9.15056 52.4519),1101,http://www.wikidata.org/entity/Q314258
Kloster Ursberg,Point(10.444214436 48.266552854),1143,http://www.wikidata.org/entity/Q315373
Benediktinerabtei Schuttern,Point(7.8525 48.381944),601,http://www.wikidata.org/entity/Q315198
Prämonstratenserabtei Allerheiligen,Point(8.19413 48.5373),1101,http://www.wikidata.org/entity/Q314792
Benediktinerabtei Amorbach,Point(9.219725939 49.643387806),701,http://www.wikidata.org/entity/Q315332
Benediktinerabtei Amorbach,Point(9.220113888 49.642886111),701,http://www.wikidata.org/entity/Q315332
Reichsabtei Hersfeld (Benediktiner),Point(9.70224 50.86627),701,http://www.wikidata.org/entity/Q314666
"Benediktinerkloster Abdinghof, Paderborn",Point(8.75278 51.7186),1015,http://www.wikidata.org/entity/Q308201
Benediktinerkloster Elchingen,Point(10.0881 48.4524),1128,http://www.wikidata.org/entity/Q315382
Kloster Ursberg,Point(10.444468 48.266328),1143,http://www.wikidata.org/entity/Q315373
Kloster Altzella,Point(13.2765 51.0603),1101,http://www.wikidata.org/entity/Q314478
Benediktinerabtei Plankstetten,Point(11.454051032 49.069077026),1101,http://www.wikidata.org/entity/Q319484
"Benediktinerkloster Thankmarsfelde, später Nienburg",Point(11.771758333 51.836511111),901,http://www.wikidata.org/entity/Q317443
Reichsabtei Herford,Point(8.67028 52.1131),1147,http://www.wikidata.org/entity/Q316174
Zisterzienserkloster Fürstenfeld,Point(11.249592078 48.169740071),1258,http://www.wikidata.org/entity/Q315489
Benediktinerabtei Gengenbach,Point(8.0171 48.4042),725,http://www.wikidata.org/entity/Q316077
Kloster Alpirsbach,Point(8.40417 48.3461),1001,http://www.wikidata.org/entity/Q315631
Kloster Alpirsbach,Point(8.40417 48.3461),1095,http://www.wikidata.org/entity/Q315631
Zisterzienserkloster Ebrach,Point(10.4942 49.8469),1127,http://www.wikidata.org/entity/Q315482
Kloster Alpirsbach,Point(8.40379844 48.34640584),1001,http://www.wikidata.org/entity/Q315631
Kloster Alpirsbach,Point(8.40379844 48.34640584),1095,http://www.wikidata.org/entity/Q315631
Kartause Frankfurt an der Oder,Point(14.553138888 52.35),1396,http://www.wikidata.org/entity/Q691178
Kloster Reichenau,Point(9.062080555 47.698738888),724,http://www.wikidata.org/entity/Q679114
"Augustinerchorherrenstift St. Zeno, Reichenhall",Point(12.8885 47.7315),803,http://www.wikidata.org/entity/Q671218
Reichsabtei Werden an der Ruhr,Point(7.00472 51.38806),877,http://www.wikidata.org/entity/Q688373
St. Gereon,Point(6.945967 50.943225),1201,http://www.wikidata.org/entity/Q682188
"Benediktinerkloster St. Salvator, Fulda",Point(9.67175 50.554027777),744,http://www.wikidata.org/entity/Q661240
Benediktinerkloster Frauenzell,Point(12.3706 49.0557),1301,http://www.wikidata.org/entity/Q610507
Reichsabtei Salem,Point(9.27722222 47.77611111),1137,http://www.wikidata.org/entity/Q652382
Prämonstratenserstift Roggenburg,Point(10.228083333 48.274638888),1482,http://www.wikidata.org/entity/Q455642
"Kanonissenstift Niedermünster, Regensburg",Point(12.10132453 49.019812031),1002,http://www.wikidata.org/entity/Q457320
Kloster Schussenried,Point(9.65858 48.0073),1183,http://www.wikidata.org/entity/Q450048
Augustinerchorherrenstift Beuron,Point(8.969333333 48.050722222),1863,http://www.wikidata.org/entity/Q450038
Prämonstratenserstift Roggenburg,Point(10.228273436 48.274835672),1482,http://www.wikidata.org/entity/Q455642
Kloster Petershausen,Point(9.1785 47.668),901,http://www.wikidata.org/entity/Q457309
Kloster Petershausen,Point(9.1785 47.668),983,http://www.wikidata.org/entity/Q457309
Kloster Eldena,Point(13.452219444 54.0892),1101,http://www.wikidata.org/entity/Q455794
