monastery,location,wikidata_entry
Zisterzienserinnenabtei Rottenmünster,Point(8.63498 48.1509),http://www.wikidata.org/entity/Q831398
Zisterzienserinnenabtei Heiligkreuztal,Point(9.40333 48.1358),http://www.wikidata.org/entity/Q832709
"Zisterzienser/-innenkloster St. Maria, Alt-Bottenbroich",Point(6.73806 50.885),http://www.wikidata.org/entity/Q744788
Zisterzienserkloster Eberbach,Point(8.046666666 50.0425),http://www.wikidata.org/entity/Q697766
Zisterzienserkloster Kaisheim,Point(10.7983 48.7673),http://www.wikidata.org/entity/Q749658
Zisterzienserkloster Fürstenfeld,Point(11.249592078 48.169740071),http://www.wikidata.org/entity/Q315489
Zisterzienserkloster Ebrach,Point(10.4942 49.8469),http://www.wikidata.org/entity/Q315482
Zisterzienserabtei Loccum,Point(9.15056 52.4519),http://www.wikidata.org/entity/Q314258
"Zisterzienserinnenkloster Kreuztal, Marburghausen",Point(10.5142 50.0194),http://www.wikidata.org/entity/Q1775438
Zisterzienserinnenkloster Krummin,Point(13.8472 54.0478),http://www.wikidata.org/entity/Q1775440
Zisterzienserinnenkloster Adersleben,Point(11.1847 51.8931),http://www.wikidata.org/entity/Q1774923
Zisterzienserkloster Aldersbach,Point(13.086041666 48.587641666),http://www.wikidata.org/entity/Q1774939
Zisterzienserinnenkloster Schlüsselau,Point(10.9103 49.7911),http://www.wikidata.org/entity/Q1747126
Zisterzienserinnenkloster Kapellendorf,Point(11.4694 50.9747),http://www.wikidata.org/entity/Q1751703
Zisterzienserinnenkloster Rosenthal (Kerzenheim),Point(8.01222 49.5603),http://www.wikidata.org/entity/Q1766421
Zisterzienserkloster Aldersbach,Point(13.086090904 48.588162543),http://www.wikidata.org/entity/Q1774939
"Benediktinerinnen,- Zisterzienserinnenkloster Sonnenkamp, Neukloster",Point(11.6861 53.8625),http://www.wikidata.org/entity/Q1765077
Zisterzienserinnenkloster Falkenhagen,Point(9.30655 51.8901),http://www.wikidata.org/entity/Q1775214
Zisterzienserabtei Eußerthal,Point(7.97027778 49.24166667),http://www.wikidata.org/entity/Q1775211
Zisterzienserinnenkloster Frauensee,Point(10.145 50.8783),http://www.wikidata.org/entity/Q1775237
"Benediktinerpropstei, später Zisterzienserinnenkloster Fürstenberg (bei Xanten)",Point(6.47188 51.6507),http://www.wikidata.org/entity/Q1775245
Zisterzienserinnenabtei Frauental,Point(10.0899 49.4982),http://www.wikidata.org/entity/Q1775238
Zisterzienserinnenabtei Gevelsberg,Point(7.327230555 51.314136111),http://www.wikidata.org/entity/Q1775263
Zisterzienserkloster Fürstenzell,Point(13.3196 48.5212),http://www.wikidata.org/entity/Q1775251
Zisterzienserkloster Bildhausen,Point(10.287196288 50.275973352),http://www.wikidata.org/entity/Q1775031
Zisterzienserinnenkloster Caldern,Point(8.66328835 50.84451438),http://www.wikidata.org/entity/Q1775103
Zisterzienserinnenkloster Beuren,Point(10.2706 51.3816),http://www.wikidata.org/entity/Q1775027
Zisterzienserabtei Bredelar,Point(8.7725 51.4178),http://www.wikidata.org/entity/Q1775083
Zisterzienserkloster Bildhausen,Point(10.2875 50.276944444),http://www.wikidata.org/entity/Q1775031
Zisterzienserabtei Bronnbach,Point(9.547222222 49.7125),http://www.wikidata.org/entity/Q1775087
Zisterzienserinnenkloster Birkenfeld,Point(10.57022 49.57419),http://www.wikidata.org/entity/Q1775033
Zisterzienserinnenkloster Döllstädt,Point(10.8098 51.0812),http://www.wikidata.org/entity/Q1775179
Zisterzienserinnenkloster Duissern,Point(6.76419 51.4369),http://www.wikidata.org/entity/Q1775177
Zisterzienserinnenkloster Drolshagen,Point(7.77881 51.023),http://www.wikidata.org/entity/Q1775174
Zisterzienserabtei Dobrilugk,Point(13.5454 51.6111),http://www.wikidata.org/entity/Q1775168
Zisterzienserinnenkloster Donndorf,Point(11.3573 51.296),http://www.wikidata.org/entity/Q1775171
Zisterzienserabtei Bebenhausen,Point(9.06072 48.56137),http://www.wikidata.org/entity/Q518676
Zisterzienserinnenkloster Heiligenthal,Point(10.1222 49.9138),http://www.wikidata.org/entity/Q1775318
Zisterzienserabtei Hardehausen,Point(8.998963888 51.549733333),http://www.wikidata.org/entity/Q1775300
"Zisterzienserinnenkloster Gnadenthal, Neuss",Point(6.71517 51.1726),http://www.wikidata.org/entity/Q1775268
Zisterzienserkloster Volkenroda,Point(10.566666666 51.25),http://www.wikidata.org/entity/Q324119
"Zisterzienserinnenkloster Altmünster, Mainz",Point(8.26302 49.9989),http://www.wikidata.org/entity/Q333805
Zisterzienserabtei Schöntal,Point(9.5047 49.3281),http://www.wikidata.org/entity/Q328036
"Zisterzienserinnenkloster Himmelspforten, Würzburg",Point(9.90477 49.8004),http://www.wikidata.org/entity/Q1775351
"Zisterzienserinnenkloster Himmelspforten, Würzburg",Point(9.904486379 49.800224361),http://www.wikidata.org/entity/Q1775351
Zisterzienserinnenkloster Himmelthal,Point(9.219444444 49.822222222),http://www.wikidata.org/entity/Q1775359
Zisterzienserinnenkloster Höckelheim,Point(9.96361 51.7008),http://www.wikidata.org/entity/Q1775373
Zisterzienserinnenkloster Isenhagen,Point(10.6191 52.7255),http://www.wikidata.org/entity/Q1775396
Zisterzienserinnenkloster Himmelkron,Point(11.5932 50.0623),http://www.wikidata.org/entity/Q1775349
Zisterzienserinnenabtei Himmelpforten,Point(8.00483 51.4927),http://www.wikidata.org/entity/Q1775350
Zisterzienserinnenkloster Himmelkron,Point(11.593427814 50.062393085),http://www.wikidata.org/entity/Q1775349
Zisterzienserabtei Ihlow,Point(7.45889 53.4042),http://www.wikidata.org/entity/Q1775381
Zisterzienserinnenkloster Himmelthal,Point(9.219494806 49.822874418),http://www.wikidata.org/entity/Q1775359
"Wilhelmiten-, später Zisterzienserkloster Groß-Burlo (Borken)",Point(6.778339 51.906099),http://www.wikidata.org/entity/Q1775612
"Zisterzienserinnenkloster Marienstuhl, Egeln",Point(11.428 51.9409),http://www.wikidata.org/entity/Q1775627
"Wilhelmiten-, später Zisterzienserkloster Groß-Burlo (Borken)",Point(6.77811 51.9064),http://www.wikidata.org/entity/Q1775612
"Zisterzienserinnenkloster Benden, Brühl",Point(6.875 50.835),http://www.wikidata.org/entity/Q1775014
"Zisterzienserkloster Rosengarten, Neuenkamp",Point(12.8756 54.1861),http://www.wikidata.org/entity/Q1775707
Zisterzienserinnenkloster Machern,Point(7.00157 49.9549),http://www.wikidata.org/entity/Q1775557
"Zisterzienserinnenkloster Levern, später Damenstift",Point(8.45416667 52.37444444),http://www.wikidata.org/entity/Q1775517
"Zisterzienserinnenkloster Marienborn, Büdingen",Point(9.0138 50.2457),http://www.wikidata.org/entity/Q1775601
"Zisterzienserinnenkloster Marienborn, Zülpich-Hoven",Point(6.64444 50.6839),http://www.wikidata.org/entity/Q1775597
Zisterzienserinnenkloster Lindow,Point(12.992 52.9731),http://www.wikidata.org/entity/Q1775524
Zisterzienserinnenkloster Saarn (Mariensaal),Point(6.88164 51.403),http://www.wikidata.org/entity/Q206088
Zisterzienserkloster Pforta,Point(11.7527 51.1422),http://www.wikidata.org/entity/Q206083
"Zisterzienserinnenkloster Georgenbusch (St. Jöris), Eschweiler-Kinzweiler",Point(6.21083 50.8353),http://www.wikidata.org/entity/Q206092
Zisterzienserinnenkloster Mühlberg an der Elbe,Point(13.2193 51.436),http://www.wikidata.org/entity/Q188086
Zisterzienserkloster Rüde (Rudekloster),Point(9.54355 54.8317),http://www.wikidata.org/entity/Q206099
Zisterzienserabtei Maulbronn,Point(8.8129 49.0011),http://www.wikidata.org/entity/Q157886
Zisterzienserkloster Reifenstein,Point(10.36333333 51.34666667),http://www.wikidata.org/entity/Q1775849
